Año,DIA,Estado de Partida,Lugar de Partida,Nombre de la Caravana,Estado de Disolución,Lugar de Disolución,Personas que Aproximadamente Incian la movilización,Personas Rescatadas,Personas Documentadas,Personas Trasladadas a Oficinas distintas al origen,Tipo de Documento o Procedimiento,TVRH,PAM,FMM,CITA COMAR,Documentos Provisionales y Oficios de Salida,Honduras, El Salvador, Guatemala, Nicaragua, Haití, República Bolivariana de Venezuela,Cuba, República Dominicana, República Federal Democrática de Nepal, Ecuador, Colombia, Estado Plurinacional de Bolivia , Senegal, Perú , Chile , Brasil, Pakistán, Ghana , Costa Rica , Nigeria , Camerún ,Etiopia,Bangladesh, India 
2024,05/11/2024,Chiapas,"Parque Bicentenario, Chiapas",Exodo por la Dignificación de los migrantes,Oaxaca,"San Blas Atempa, Oaxaca","1,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,06/11/2024,Chiapas,"Tuxtla Gutiérrez, Chiapas",Movimiento por la Dignificación de los Migrantes,Oaxaca,"La Ventosa, Oaxaca",550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,20/11/2024,Chiapas,"Parque Bicentenario, Tapachula",,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,01/12/2024,Chiapas,"Parque Bicentenario, Tapachula",,,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12/12/2024,Chiapas,"Parque Bicentenario, Tapachula",Caravana Guadalupana,,,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,18/12/2024,Chiapas,"Parque Bicentenario, Tapachula",Dia del Migrante,Oaxaca,"Santo Domingo Zanatepec, Oaxaca",900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,02/01/2025,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,"Escuintla, Chiapas",980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,08/01/2025,Chiapas,"Parque Bicentenario, Tapachula",,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,12/01/2025,Chiapas,"Parque Bicentenario, Tapachula",Éxodo Trump,Chiapas,"Mapastepec, Chiapas",564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,20/01/2025,Chiapas,"Parque Bicentenario, Tapachula",,Oaxaca,"Corazones, Oaxaca",945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,26/01/2025,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,"Arriaga, Chiapas",950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,06/08/2025,Chiapas,"Tapachula, Chiapas",,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,01/10/2025,Chiapas,"Parque Bicentenario, Tapachula",Caravana Migrante por la Libertad,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,24/03/2026,Chiapas,"Tapachula, Chiapas",Genesis,Chiapas,"Tonalá, Chiapas",380,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,20/04/2026,Chiapas,"Tapachula, Chiapas",,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
