DIA,ESTADO / O.R.,MEXICANOS REPATRIADOS,ADULTOS,MENORES,NNA NO ACOMPAÑADOS,NNA ACOMPAÑADOS,TERRESTRES,VUELOS PRIM,,,,,,
11/12/2024,TAMAULIPAS,180,155,25,9,16,180,0,,,,,,
12/12/2024,BAJA CALIFORNIA,93,76,17,6,11,93,0,,,,,,
12/12/2024,CHIHUAHUA,57,45,12,9,3,57,0,,,,,,
12/12/2024,COAHUILA,9,3,6,6,0,9,0,,,,,,
12/12/2024,SONORA,151,110,41,8,33,151,0,,,,,,
12/12/2024,TAMAULIPAS,121,111,10,7,3,121,0,,,,,,
13/12/2024,BAJA CALIFORNIA,88,78,10,7,3,88,0,,,,,,
13/12/2024,CHIHUAHUA,61,50,11,8,3,61,0,,,,,,
13/12/2024,COAHUILA,15,13,2,2,0,15,0,,,,,,
13/12/2024,SONORA,146,114,32,2,30,146,0,,,,,,
13/12/2024,TAMAULIPAS,226,212,14,13,1,226,0,,,,,,
14/12/2024,BAJA CALIFORNIA,121,104,17,1,16,121,0,,,,,,
14/12/2024,CHIHUAHUA,60,46,14,12,2,60,0,,,,,,
14/12/2024,COAHUILA,7,0,7,7,0,7,0,,,,,,
14/12/2024,SONORA,150,138,12,6,6,150,0,,,,,,
14/12/2024,TAMAULIPAS,115,102,13,11,2,115,0,,,,,,
15/12/2024,BAJA CALIFORNIA,75,61,14,1,13,75,0,,,,,,
15/12/2024,CHIHUAHUA,38,22,16,15,1,38,0,,,,,,
15/12/2024,COAHUILA,5,4,1,1,0,5,0,,,,,,
15/12/2024,SONORA,61,36,25,6,19,61,0,,,,,,
15/12/2024,TAMAULIPAS,13,13,0,0,0,13,0,,,,,,
16/12/2024,BAJA CALIFORNIA,52,42,10,2,8,52,0,,,,,,
16/12/2024,CHIHUAHUA,25,11,14,13,1,25,0,,,,,,
16/12/2024,COAHUILA,16,16,0,0,0,16,0,,,,,,
16/12/2024,SONORA,37,21,16,3,13,37,0,,,,,,
16/12/2024,TAMAULIPAS,196,190,6,6,0,196,0,,,,,,
17/12/2024,BAJA CALIFORNIA,117,99,18,5,13,117,0,,,,,,
17/12/2024,CHIHUAHUA,35,26,9,8,1,35,0,,,,,,
17/12/2024,COAHUILA,15,14,1,1,0,15,0,,,,,,
17/12/2024,ESTADO DE MEXICO,514,505,9,0,9,0,514,,,,,,
17/12/2024,SONORA,132,112,20,3,17,132,0,,,,,,
17/12/2024,TAMAULIPAS,159,140,19,8,11,159,0,,,,,,
18/12/2024,BAJA CALIFORNIA,92,79,13,10,3,92,0,,,,,,
18/12/2024,CHIHUAHUA,60,47,13,11,2,60,0,,,,,,
18/12/2024,COAHUILA,27,25,2,2,0,27,0,,,,,,
18/12/2024,ESTADO DE MEXICO,134,122,12,0,12,0,134,,,,,,
18/12/2024,SONORA,82,65,17,8,9,82,0,,,,,,
18/12/2024,TAMAULIPAS,109,92,17,16,1,109,0,,,,,,
19/12/2024,BAJA CALIFORNIA,99,84,15,6,9,99,0,,,,,,
19/12/2024,CHIHUAHUA,50,40,10,7,3,50,0,,,,,,
19/12/2024,COAHUILA,22,12,10,5,5,22,0,,,,,,
19/12/2024,SONORA,105,82,23,4,19,105,0,,,,,,
19/12/2024,TAMAULIPAS,115,95,20,18,2,115,0,,,,,,
20/12/2024,BAJA CALIFORNIA,136,125,11,3,8,136,0,,,,,,
20/12/2024,CHIHUAHUA,43,36,7,5,2,43,0,,,,,,
20/12/2024,COAHUILA,64,59,5,5,0,64,0,,,,,,
20/12/2024,SONORA,146,104,42,6,36,146,0,,,,,,
20/12/2024,TAMAULIPAS,329,310,19,7,12,329,0,,,,,,
21/12/2024,BAJA CALIFORNIA,123,106,17,6,11,123,0,,,,,,
21/12/2024,CHIHUAHUA,53,37,16,15,1,53,0,,,,,,
21/12/2024,SONORA,156,135,21,2,19,156,0,,,,,,
21/12/2024,TAMAULIPAS,66,51,15,8,7,66,0,,,,,,
22/12/2024,BAJA CALIFORNIA,63,46,17,6,11,63,0,,,,,,
22/12/2024,CHIHUAHUA,36,18,18,11,7,36,0,,,,,,
22/12/2024,COAHUILA,6,5,1,0,1,6,0,,,,,,
22/12/2024,SONORA,65,33,32,2,30,65,0,,,,,,
22/12/2024,TAMAULIPAS,117,110,7,7,0,117,0,,,,,,
23/12/2024,BAJA CALIFORNIA,96,79,17,6,11,96,0,,,,,,
23/12/2024,CHIHUAHUA,60,47,13,10,3,60,0,,,,,,
23/12/2024,COAHUILA,59,54,5,3,2,59,0,,,,,,
23/12/2024,ESTADO DE MEXICO,626,609,17,0,17,0,626,,,,,,
23/12/2024,SONORA,50,36,14,4,10,50,0,,,,,,
23/12/2024,TAMAULIPAS,151,142,9,9,0,151,0,,,,,,
24/12/2024,BAJA CALIFORNIA,152,144,8,4,4,152,0,,,,,,
24/12/2024,CHIHUAHUA,54,46,8,8,0,54,0,,,,,,
24/12/2024,COAHUILA,10,6,4,3,1,10,0,,,,,,
24/12/2024,ESTADO DE MEXICO,11,11,0,0,0,0,11,,,,,,
24/12/2024,SONORA,146,121,25,2,23,146,0,,,,,,
24/12/2024,TAMAULIPAS,66,46,20,6,14,66,0,,,,,,
25/12/2024,BAJA CALIFORNIA,85,67,18,7,11,85,0,,,,,,
25/12/2024,CHIHUAHUA,35,24,11,9,2,35,0,,,,,,
25/12/2024,COAHUILA,1,1,0,0,0,1,0,,,,,,
25/12/2024,SONORA,91,79,12,2,10,91,0,,,,,,
25/12/2024,TAMAULIPAS,59,56,3,3,0,59,0,,,,,,
26/12/2024,BAJA CALIFORNIA,93,87,6,2,4,93,0,,,,,,
26/12/2024,CHIHUAHUA,47,36,11,5,6,47,0,,,,,,
26/12/2024,COAHUILA,14,12,2,2,0,14,0,,,,,,
26/12/2024,SONORA,45,40,5,0,5,45,0,,,,,,
26/12/2024,TAMAULIPAS,83,77,6,4,2,83,0,,,,,,
27/12/2024,BAJA CALIFORNIA,83,69,14,5,9,83,0,,,,,,
27/12/2024,CHIHUAHUA,67,61,6,3,3,67,0,,,,,,
27/12/2024,COAHUILA,14,14,0,0,0,14,0,,,,,,
27/12/2024,SONORA,111,95,16,5,11,111,0,,,,,,
27/12/2024,TAMAULIPAS,146,137,9,8,1,146,0,,,,,,
28/12/2024,BAJA CALIFORNIA,85,69,16,4,12,85,0,,,,,,
28/12/2024,CHIHUAHUA,51,43,8,7,1,51,0,,,,,,
28/12/2024,COAHUILA,1,0,1,1,0,1,0,,,,,,
28/12/2024,SONORA,147,118,29,1,28,147,0,,,,,,
28/12/2024,TAMAULIPAS,87,83,4,4,0,87,0,,,,,,
29/12/2024,BAJA CALIFORNIA,114,103,11,9,2,114,0,,,,,,
29/12/2024,CHIHUAHUA,36,27,9,8,1,36,0,,,,,,
29/12/2024,COAHUILA,1,0,1,1,0,1,0,,,,,,
29/12/2024,SONORA,32,15,17,5,12,32,0,,,,,,
29/12/2024,TAMAULIPAS,73,66,7,7,0,73,0,,,,,,
30/12/2024,BAJA CALIFORNIA,87,72,15,3,12,87,0,,,,,,
30/12/2024,CHIHUAHUA,41,31,10,5,5,41,0,,,,,,
30/12/2024,COAHUILA,31,26,5,4,1,31,0,,,,,,
30/12/2024,ESTADO DE MEXICO,606,583,23,0,23,0,606,,,,,,
30/12/2024,SONORA,62,38,24,5,19,62,0,,,,,,
30/12/2024,TAMAULIPAS,123,117,6,5,1,123,0,,,,,,
31/12/2024,BAJA CALIFORNIA,83,80,3,0,3,83,0,,,,,,
31/12/2024,CHIHUAHUA,64,45,19,10,9,64,0,,,,,,
31/12/2024,COAHUILA,5,4,1,1,0,5,0,,,,,,
31/12/2024,SONORA,55,51,4,1,3,55,0,,,,,,
31/12/2024,TAMAULIPAS,82,76,6,3,3,82,0,,,,,,
01/01/2025,BAJA CALIFORNIA,52,44,8,4,4,52,0,,,,,,
01/01/2025,CHIHUAHUA,35,27,8,8,0,35,0,,,,,,
01/01/2025,COAHUILA,12,6,6,5,1,12,0,,,,,,
01/01/2025,SONORA,80,72,8,1,7,80,0,,,,,,
01/01/2025,TAMAULIPAS,37,35,2,2,0,37,0,,,,,,
02/01/2025,BAJA CALIFORNIA,100,80,20,7,13,100,0,,,,,,
02/01/2025,CHIHUAHUA,48,35,13,6,7,48,0,,,,,,
02/01/2025,COAHUILA,23,22,1,0,1,23,0,,,,,,
02/01/2025,SONORA,8,8,0,0,0,8,0,,,,,,
02/01/2025,TAMAULIPAS,90,82,8,6,2,90,0,,,,,,
03/01/2025,BAJA CALIFORNIA,91,87,4,1,3,91,0,,,,,,
03/01/2025,CHIHUAHUA,54,48,6,5,1,54,0,,,,,,
03/01/2025,COAHUILA,22,18,4,4,0,22,0,,,,,,
03/01/2025,SONORA,110,102,8,0,8,110,0,,,,,,
03/01/2025,TAMAULIPAS,170,159,11,5,6,170,0,,,,,,
04/01/2025,BAJA CALIFORNIA,57,55,2,2,0,57,0,,,,,,
04/01/2025,CHIHUAHUA,48,36,12,8,4,48,0,,,,,,
04/01/2025,COAHUILA,5,0,5,5,0,5,0,,,,,,
04/01/2025,SONORA,120,86,34,3,31,120,0,,,,,,
04/01/2025,TAMAULIPAS,61,53,8,7,1,61,0,,,,,,
05/01/2025,BAJA CALIFORNIA,71,66,5,2,3,71,0,,,,,,
05/01/2025,CHIHUAHUA,28,20,8,3,5,28,0,,,,,,
05/01/2025,SONORA,47,37,10,0,10,47,0,,,,,,
05/01/2025,TAMAULIPAS,33,23,10,10,0,33,0,,,,,,
06/01/2025,BAJA CALIFORNIA,45,43,2,2,0,45,0,,,,,,
06/01/2025,CHIHUAHUA,61,55,6,3,3,61,0,,,,,,
06/01/2025,COAHUILA,7,6,1,1,0,7,0,,,,,,
06/01/2025,SONORA,48,29,19,3,16,48,0,,,,,,
06/01/2025,TAMAULIPAS,170,164,6,6,0,170,0,,,,,,
07/01/2025,BAJA CALIFORNIA,49,39,10,3,7,49,0,,,,,,
07/01/2025,CHIHUAHUA,40,35,5,4,1,40,0,,,,,,
07/01/2025,COAHUILA,17,15,2,0,2,17,0,,,,,,
07/01/2025,ESTADO DE MEXICO,660,637,23,0,23,0,660,,,,,,
07/01/2025,SONORA,70,65,5,2,3,70,0,,,,,,
07/01/2025,TAMAULIPAS,148,138,10,10,0,148,0,,,,,,
08/01/2025,BAJA CALIFORNIA,134,127,7,3,4,134,0,,,,,,
08/01/2025,CHIHUAHUA,48,41,7,6,1,48,0,,,,,,
08/01/2025,COAHUILA,27,27,0,0,0,27,0,,,,,,
08/01/2025,SONORA,85,75,10,2,8,85,0,,,,,,
08/01/2025,TAMAULIPAS,153,145,8,7,1,153,0,,,,,,
09/01/2025,BAJA CALIFORNIA,51,47,4,4,0,51,0,,,,,,
09/01/2025,CHIHUAHUA,36,21,15,9,6,36,0,,,,,,
09/01/2025,COAHUILA,7,6,1,1,0,7,0,,,,,,
09/01/2025,SONORA,117,100,17,2,15,117,0,,,,,,
09/01/2025,TAMAULIPAS,87,76,11,11,0,87,0,,,,,,
10/01/2025,BAJA CALIFORNIA,34,34,0,0,0,34,0,,,,,,
10/01/2025,CHIHUAHUA,47,43,4,4,0,47,0,,,,,,
10/01/2025,COAHUILA,15,11,4,0,4,15,0,,,,,,
10/01/2025,SONORA,54,46,8,1,7,54,0,,,,,,
10/01/2025,TAMAULIPAS,191,184,7,3,4,191,0,,,,,,
11/01/2025,BAJA CALIFORNIA,61,52,9,3,6,61,0,,,,,,
11/01/2025,CHIHUAHUA,46,40,6,5,1,46,0,,,,,,
11/01/2025,COAHUILA,7,2,5,5,0,7,0,,,,,,
11/01/2025,SONORA,129,117,12,3,9,129,0,,,,,,
11/01/2025,TAMAULIPAS,53,46,7,7,0,53,0,,,,,,
12/01/2025,BAJA CALIFORNIA,42,31,11,5,6,42,0,,,,,,
12/01/2025,CHIHUAHUA,44,30,14,11,3,44,0,,,,,,
12/01/2025,COAHUILA,2,1,1,1,0,2,0,,,,,,
12/01/2025,SONORA,56,35,21,5,16,56,0,,,,,,
12/01/2025,TAMAULIPAS,34,32,2,1,1,34,0,,,,,,
13/01/2025,BAJA CALIFORNIA,54,48,6,4,2,54,0,,,,,,
13/01/2025,CHIHUAHUA,67,60,7,7,0,67,0,,,,,,
13/01/2025,COAHUILA,6,3,3,3,0,6,0,,,,,,
13/01/2025,SONORA,56,48,8,2,6,56,0,,,,,,
13/01/2025,TAMAULIPAS,173,165,8,4,4,173,0,,,,,,
14/01/2025,BAJA CALIFORNIA,98,92,6,3,3,98,0,,,,,,
14/01/2025,CHIHUAHUA,55,44,11,8,3,55,0,,,,,,
14/01/2025,COAHUILA,30,28,2,1,1,30,0,,,,,,
14/01/2025,ESTADO DE MEXICO,610,598,12,0,12,0,610,,,,,,
14/01/2025,SONORA,95,80,15,3,12,95,0,,,,,,
14/01/2025,TAMAULIPAS,136,119,17,12,5,136,0,,,,,,
15/01/2025,BAJA CALIFORNIA,73,64,9,5,4,73,0,,,,,,
15/01/2025,CHIHUAHUA,70,53,17,11,6,70,0,,,,,,
15/01/2025,COAHUILA,10,10,0,0,0,10,0,,,,,,
15/01/2025,ESTADO DE MEXICO,1,1,0,0,0,0,1,,,,,,
15/01/2025,SONORA,88,71,17,4,13,88,0,,,,,,
15/01/2025,TAMAULIPAS,197,183,14,13,1,197,0,,,,,,
16/01/2025,BAJA CALIFORNIA,88,79,9,4,5,88,0,,,,,,
16/01/2025,CHIHUAHUA,72,70,2,2,0,72,0,,,,,,
16/01/2025,COAHUILA,38,36,2,1,1,38,0,,,,,,
16/01/2025,SONORA,120,106,14,5,9,120,0,,,,,,
16/01/2025,TAMAULIPAS,100,82,18,17,1,100,0,,,,,,
17/01/2025,BAJA CALIFORNIA,123,118,5,4,1,123,0,,,,,,
17/01/2025,CHIHUAHUA,36,26,10,10,0,36,0,,,,,,
17/01/2025,COAHUILA,58,54,4,4,0,58,0,,,,,,
17/01/2025,SONORA,155,127,28,2,26,155,0,,,,,,
17/01/2025,TAMAULIPAS,329,309,20,8,12,329,0,,,,,,
18/01/2025,BAJA CALIFORNIA,125,111,14,5,9,125,0,,,,,,
18/01/2025,CHIHUAHUA,24,17,7,3,4,24,0,,,,,,
18/01/2025,COAHUILA,6,1,5,5,0,6,0,,,,,,
18/01/2025,SONORA,110,94,16,3,13,110,0,,,,,,
18/01/2025,TAMAULIPAS,108,95,13,13,0,108,0,,,,,,
19/01/2025,BAJA CALIFORNIA,94,83,11,6,5,94,0,,,,,,
19/01/2025,CHIHUAHUA,7,3,4,3,1,7,0,,,,,,
19/01/2025,SONORA,81,69,12,1,11,81,0,,,,,,
19/01/2025,TAMAULIPAS,40,34,6,3,3,40,0,,,,,,
20/01/2025,BAJA CALIFORNIA,84,70,14,6,8,84,0,,,,,,
20/01/2025,CHIHUAHUA,59,48,11,9,2,59,0,,,,,,
20/01/2025,COAHUILA,15,11,4,4,0,15,0,,,,,,
20/01/2025,SONORA,63,41,22,1,21,63,0,,,,,,
20/01/2025,TAMAULIPAS,144,137,7,2,5,144,0,,,,,,
21/01/2025,BAJA CALIFORNIA,180,162,18,8,10,180,0,,,,,,
21/01/2025,CHIHUAHUA,49,43,6,5,1,49,0,,,,,,
21/01/2025,COAHUILA,27,24,3,3,0,27,0,,,,,,
21/01/2025,SONORA,73,69,4,0,4,73,0,,,,,,
21/01/2025,TAMAULIPAS,106,86,20,12,8,106,0,,,,,,
22/01/2025,BAJA CALIFORNIA,160,150,10,3,7,160,0,,,,,,
22/01/2025,CHIHUAHUA,149,146,3,3,0,149,0,,,,,,
22/01/2025,COAHUILA,40,40,0,0,0,40,0,,,,,,
22/01/2025,SONORA,296,277,19,6,13,296,0,,,,,,
22/01/2025,TAMAULIPAS,175,167,8,4,4,175,0,,,,,,
23/01/2025,BAJA CALIFORNIA,106,99,7,5,2,106,0,,,,,,
23/01/2025,CHIHUAHUA,213,204,9,8,1,213,0,,,,,,
23/01/2025,COAHUILA,30,26,4,4,0,30,0,,,,,,
23/01/2025,ESTADO DE MEXICO,377,350,27,0,27,0,377,,,,,,
23/01/2025,SONORA,330,311,19,5,14,330,0,,,,,,
23/01/2025,TAMAULIPAS,192,179,13,13,0,192,0,,,,,,
24/01/2025,BAJA CALIFORNIA,58,53,5,2,3,58,0,,,,,,
24/01/2025,CHIHUAHUA,121,110,11,11,0,121,0,,,,,,
24/01/2025,COAHUILA,18,18,0,0,0,18,0,,,,,,
24/01/2025,SONORA,110,95,15,4,11,110,0,,,,,,
24/01/2025,TAMAULIPAS,139,127,12,10,2,139,0,,,,,,
25/01/2025,BAJA CALIFORNIA,74,68,6,3,3,74,0,,,,,,
25/01/2025,CHIHUAHUA,157,154,3,3,0,157,0,,,,,,
25/01/2025,COAHUILA,16,13,3,3,0,16,0,,,,,,
25/01/2025,SONORA,80,78,2,0,2,80,0,,,,,,
25/01/2025,TAMAULIPAS,134,120,14,10,4,134,0,,,,,,
26/01/2025,BAJA CALIFORNIA,107,101,6,3,3,107,0,,,,,,
26/01/2025,CHIHUAHUA,107,96,11,5,6,107,0,,,,,,
26/01/2025,COAHUILA,11,11,0,0,0,11,0,,,,,,
26/01/2025,SONORA,41,30,11,6,5,41,0,,,,,,
26/01/2025,TAMAULIPAS,106,99,7,5,2,106,0,,,,,,
27/01/2025,BAJA CALIFORNIA,96,86,10,8,2,96,0,,,,,,
27/01/2025,CHIHUAHUA,20,13,7,7,0,20,0,,,,,,
27/01/2025,COAHUILA,24,22,2,2,0,24,0,,,,,,
27/01/2025,SONORA,33,30,3,2,1,33,0,,,,,,
27/01/2025,TAMAULIPAS,206,198,8,6,2,206,0,,,,,,
28/01/2025,BAJA CALIFORNIA,108,105,3,2,1,108,0,,,,,,
28/01/2025,CHIHUAHUA,29,26,3,3,0,29,0,,,,,,
28/01/2025,COAHUILA,51,49,2,2,0,51,0,,,,,,
28/01/2025,SONORA,40,37,3,3,0,40,0,,,,,,
28/01/2025,TAMAULIPAS,155,143,12,7,5,155,0,,,,,,
29/01/2025,BAJA CALIFORNIA,145,137,8,7,1,145,0,,,,,,
29/01/2025,CHIHUAHUA,96,92,4,4,0,96,0,,,,,,
29/01/2025,COAHUILA,22,22,0,0,0,22,0,,,,,,
29/01/2025,ESTADO DE MEXICO,113,112,1,0,1,0,113,,,,,,
29/01/2025,SONORA,195,186,9,3,6,195,0,,,,,,
29/01/2025,TAMAULIPAS,158,147,11,9,2,158,0,,,,,,
30/01/2025,BAJA CALIFORNIA,130,128,2,2,0,130,0,,,,,,
30/01/2025,CHIHUAHUA,71,68,3,3,0,71,0,,,,,,
30/01/2025,COAHUILA,50,47,3,3,0,50,0,,,,,,
30/01/2025,SONORA,82,75,7,7,0,82,0,,,,,,
30/01/2025,TAMAULIPAS,76,70,6,5,1,76,0,,,,,,
31/01/2025,BAJA CALIFORNIA,66,57,9,3,6,66,0,,,,,,
31/01/2025,CHIHUAHUA,31,29,2,2,0,31,0,,,,,,
31/01/2025,COAHUILA,25,23,2,2,0,25,0,,,,,,
31/01/2025,SONORA,59,55,4,2,2,59,0,,,,,,
31/01/2025,TAMAULIPAS,281,270,11,6,5,281,0,,,,,,
01/02/2025,BAJA CALIFORNIA,32,32,0,0,0,32,0,,,,,,
01/02/2025,CHIHUAHUA,78,73,5,5,0,78,0,,,,,,
01/02/2025,COAHUILA,14,8,6,6,0,14,0,,,,,,
01/02/2025,SONORA,79,76,3,2,1,79,0,,,,,,
01/02/2025,TAMAULIPAS,134,126,8,7,1,134,0,,,,,,
02/02/2025,BAJA CALIFORNIA,42,41,1,0,1,42,0,,,,,,
02/02/2025,CHIHUAHUA,29,25,4,2,2,29,0,,,,,,
02/02/2025,COAHUILA,24,23,1,0,1,24,0,,,,,,
02/02/2025,SONORA,25,19,6,2,4,25,0,,,,,,
02/02/2025,TAMAULIPAS,43,39,4,4,0,43,0,,,,,,
03/02/2025,BAJA CALIFORNIA,54,52,2,2,0,54,0,,,,,,
03/02/2025,CHIHUAHUA,46,42,4,4,0,46,0,,,,,,
03/02/2025,COAHUILA,19,17,2,1,1,19,0,,,,,,
03/02/2025,ESTADO DE MEXICO,79,79,0,0,0,0,79,,,,,,
03/02/2025,SONORA,32,28,4,2,2,32,0,,,,,,
03/02/2025,TAMAULIPAS,93,90,3,3,0,93,0,,,,,,
04/02/2025,BAJA CALIFORNIA,136,133,3,0,3,136,0,,,,,,
04/02/2025,CHIHUAHUA,63,57,6,5,1,63,0,,,,,,
04/02/2025,COAHUILA,18,15,3,3,0,18,0,,,,,,
04/02/2025,SONORA,79,77,2,0,2,79,0,,,,,,
04/02/2025,TAMAULIPAS,120,107,13,7,6,120,0,,,,,,
05/02/2025,BAJA CALIFORNIA,81,76,5,2,3,81,0,,,,,,
05/02/2025,CHIHUAHUA,57,50,7,7,0,57,0,,,,,,
05/02/2025,COAHUILA,43,43,0,0,0,43,0,,,,,,
05/02/2025,SONORA,73,71,2,2,0,73,0,,,,,,
05/02/2025,TAMAULIPAS,199,192,7,6,1,199,0,,,,,,
06/02/2025,BAJA CALIFORNIA,32,30,2,2,0,32,0,,,,,,
06/02/2025,CHIHUAHUA,46,43,3,3,0,46,0,,,,,,
06/02/2025,COAHUILA,21,20,1,0,1,21,0,,,,,,
06/02/2025,SONORA,58,50,8,4,4,58,0,,,,,,
06/02/2025,TAMAULIPAS,169,161,8,4,4,169,0,,,,,,
07/02/2025,BAJA CALIFORNIA,54,51,3,3,0,54,0,,,,,,
07/02/2025,CHIHUAHUA,32,30,2,2,0,32,0,,,,,,
07/02/2025,COAHUILA,10,8,2,2,0,10,0,,,,,,
07/02/2025,SONORA,46,45,1,1,0,46,0,,,,,,
07/02/2025,TAMAULIPAS,273,259,14,13,1,273,0,,,,,,
08/02/2025,BAJA CALIFORNIA,26,22,4,2,2,26,0,,,,,,
08/02/2025,CHIHUAHUA,22,17,5,5,0,22,0,,,,,,
08/02/2025,SONORA,77,74,3,2,1,77,0,,,,,,
08/02/2025,TAMAULIPAS,28,26,2,2,0,28,0,,,,,,
09/02/2025,BAJA CALIFORNIA,51,50,1,0,1,51,0,,,,,,
09/02/2025,CHIHUAHUA,35,30,5,4,1,35,0,,,,,,
09/02/2025,COAHUILA,4,1,3,3,0,4,0,,,,,,
09/02/2025,SONORA,161,156,5,1,4,161,0,,,,,,
09/02/2025,TAMAULIPAS,96,93,3,3,0,96,0,,,,,,
10/02/2025,BAJA CALIFORNIA,28,18,10,1,9,28,0,,,,,,
10/02/2025,CHIHUAHUA,53,49,4,3,1,53,0,,,,,,
10/02/2025,COAHUILA,13,13,0,0,0,13,0,,,,,,
10/02/2025,ESTADO DE MEXICO,87,87,0,0,0,0,87,,,,,,
10/02/2025,SONORA,13,13,0,0,0,13,0,,,,,,
10/02/2025,TAMAULIPAS,152,147,5,5,0,152,0,,,,,,
11/02/2025,BAJA CALIFORNIA,84,83,1,1,0,84,0,,,,,,
11/02/2025,CHIHUAHUA,28,27,1,1,0,28,0,,,,,,
11/02/2025,COAHUILA,20,20,0,0,0,20,0,,,,,,
11/02/2025,SONORA,57,57,0,0,0,57,0,,,,,,
11/02/2025,TAMAULIPAS,75,70,5,5,0,75,0,,,,,,
12/02/2025,BAJA CALIFORNIA,66,65,1,1,0,66,0,,,,,,
12/02/2025,CHIHUAHUA,31,25,6,4,2,31,0,,,,,,
12/02/2025,COAHUILA,8,8,0,0,0,8,0,,,,,,
12/02/2025,SONORA,56,53,3,0,3,56,0,,,,,,
12/02/2025,TAMAULIPAS,181,172,9,9,0,181,0,,,,,,
13/02/2025,BAJA CALIFORNIA,37,34,3,2,1,37,0,,,,,,
13/02/2025,CHIHUAHUA,40,38,2,1,1,40,0,,,,,,
13/02/2025,COAHUILA,10,10,0,0,0,10,0,,,,,,
13/02/2025,SONORA,49,43,6,5,1,49,0,,,,,,
13/02/2025,TAMAULIPAS,89,87,2,2,0,89,0,,,,,,
14/02/2025,BAJA CALIFORNIA,64,62,2,2,0,64,0,,,,,,
14/02/2025,CHIHUAHUA,23,22,1,1,0,23,0,,,,,,
14/02/2025,COAHUILA,3,2,1,1,0,3,0,,,,,,
14/02/2025,SONORA,83,81,2,1,1,83,0,,,,,,
14/02/2025,TAMAULIPAS,151,147,4,4,0,151,0,,,,,,
15/02/2025,BAJA CALIFORNIA,18,15,3,3,0,18,0,,,,,,
15/02/2025,CHIHUAHUA,51,45,6,3,3,51,0,,,,,,
15/02/2025,COAHUILA,1,1,0,0,0,1,0,,,,,,
15/02/2025,ESTADO DE MEXICO,133,130,3,0,3,0,133,,,,,,
15/02/2025,SONORA,66,65,1,1,0,66,0,,,,,,
15/02/2025,TAMAULIPAS,167,162,5,3,2,167,0,,,,,,
16/02/2025,BAJA CALIFORNIA,10,5,5,4,1,10,0,,,,,,
16/02/2025,CHIHUAHUA,5,1,4,4,0,5,0,,,,,,
16/02/2025,COAHUILA,9,8,1,1,0,9,0,,,,,,
16/02/2025,SONORA,4,2,2,1,1,4,0,,,,,,
16/02/2025,TAMAULIPAS,42,41,1,0,1,42,0,,,,,,
17/02/2025,BAJA CALIFORNIA,10,9,1,1,0,10,0,,,,,,
17/02/2025,CHIHUAHUA,5,2,3,3,0,5,0,,,,,,
17/02/2025,COAHUILA,1,0,1,1,0,1,0,,,,,,
17/02/2025,ESTADO DE MEXICO,133,133,0,0,0,0,133,,,,,,
17/02/2025,SONORA,23,23,0,0,0,23,0,,,,,,
17/02/2025,TAMAULIPAS,107,105,2,2,0,107,0,,,,,,
18/02/2025,BAJA CALIFORNIA,56,54,2,2,0,56,0,,,,,,
18/02/2025,CHIHUAHUA,41,38,3,2,1,41,0,,,,,,
18/02/2025,COAHUILA,19,16,3,3,0,19,0,,,,,,
18/02/2025,SONORA,17,17,0,0,0,17,0,,,,,,
18/02/2025,TABASCO,132,125,7,0,7,0,132,,,,,,
18/02/2025,TAMAULIPAS,92,86,6,6,0,92,0,,,,,,
19/02/2025,BAJA CALIFORNIA,44,41,3,3,0,44,0,,,,,,
19/02/2025,CHIHUAHUA,21,18,3,3,0,21,0,,,,,,
19/02/2025,COAHUILA,33,33,0,0,0,33,0,,,,,,
19/02/2025,SONORA,49,43,6,0,6,49,0,,,,,,
19/02/2025,TAMAULIPAS,133,126,7,5,2,133,0,,,,,,
20/02/2025,BAJA CALIFORNIA,49,47,2,2,0,49,0,,,,,,
20/02/2025,CHIAPAS,123,117,6,0,6,0,123,,,,,,
20/02/2025,CHIHUAHUA,21,17,4,4,0,21,0,,,,,,
20/02/2025,COAHUILA,2,1,1,1,0,2,0,,,,,,
20/02/2025,SONORA,84,80,4,3,1,84,0,,,,,,
20/02/2025,TAMAULIPAS,72,64,8,8,0,72,0,,,,,,
21/02/2025,BAJA CALIFORNIA,61,59,2,2,0,61,0,,,,,,
21/02/2025,CHIAPAS,83,83,0,0,0,0,83,,,,,,
21/02/2025,CHIHUAHUA,52,49,3,3,0,52,0,,,,,,
21/02/2025,COAHUILA,6,2,4,4,0,6,0,,,,,,
21/02/2025,SONORA,90,88,2,2,0,90,0,,,,,,
21/02/2025,TAMAULIPAS,81,78,3,2,1,81,0,,,,,,
22/02/2025,BAJA CALIFORNIA,14,12,2,2,0,14,0,,,,,,
22/02/2025,CHIAPAS,162,157,5,0,5,0,162,,,,,,
22/02/2025,CHIHUAHUA,22,20,2,2,0,22,0,,,,,,
22/02/2025,COAHUILA,8,8,0,0,0,8,0,,,,,,
22/02/2025,SONORA,91,90,1,1,0,91,0,,,,,,
22/02/2025,TAMAULIPAS,49,45,4,3,1,49,0,,,,,,
23/02/2025,BAJA CALIFORNIA,35,32,3,3,0,35,0,,,,,,
23/02/2025,CHIHUAHUA,12,7,5,5,0,12,0,,,,,,
23/02/2025,COAHUILA,4,2,2,2,0,4,0,,,,,,
23/02/2025,SONORA,7,6,1,1,0,7,0,,,,,,
