DIA,ESTADO / O.R.,MEXICANOS REPATRIADOS,ADULTOS,MENORES,NNA NO ACOMPAÑADOS,NNA ACOMPAÑADOS,TERRESTRES,VUELOS PRIM,,,,,,
17/10/2024,CHIHUAHUA,55,40,15,9,6,55,0,,,,,,
17/10/2024,COAHUILA,57,48,9,2,7,57,0,,,,,,
17/10/2024,SONORA,285,242,43,5,38,285,0,,,,,,
17/10/2024,TAMAULIPAS,100,81,19,14,5,100,0,,,,,,
18/10/2024,BAJA CALIFORNIA,94,77,17,3,14,94,0,,,,,,
18/10/2024,CHIHUAHUA,59,50,9,7,2,59,0,,,,,,
18/10/2024,COAHUILA,56,54,2,0,2,56,0,,,,,,
18/10/2024,SONORA,270,215,55,8,47,270,0,,,,,,
18/10/2024,TAMAULIPAS,217,194,23,19,4,217,0,,,,,,
19/10/2024,BAJA CALIFORNIA,54,38,16,2,14,54,0,,,,,,
19/10/2024,CHIHUAHUA,57,41,16,14,2,57,0,,,,,,
19/10/2024,COAHUILA,69,68,1,1,0,69,0,,,,,,
19/10/2024,SONORA,275,238,37,10,27,275,0,,,,,,
19/10/2024,TAMAULIPAS,63,54,9,6,3,63,0,,,,,,
20/10/2024,BAJA CALIFORNIA,90,62,28,2,26,90,0,,,,,,
20/10/2024,CHIHUAHUA,65,49,16,14,2,65,0,,,,,,
20/10/2024,COAHUILA,3,1,2,2,0,3,0,,,,,,
20/10/2024,SONORA,116,86,30,2,28,116,0,,,,,,
20/10/2024,TAMAULIPAS,42,36,6,6,0,42,0,,,,,,
21/10/2024,BAJA CALIFORNIA,114,79,35,5,30,114,0,,,,,,
21/10/2024,CHIHUAHUA,71,49,22,14,8,71,0,,,,,,
21/10/2024,COAHUILA,50,45,5,5,0,50,0,,,,,,
21/10/2024,SONORA,68,38,30,1,29,68,0,,,,,,
21/10/2024,TAMAULIPAS,152,144,8,6,2,152,0,,,,,,
22/10/2024,BAJA CALIFORNIA,110,94,16,9,7,110,0,,,,,,
22/10/2024,CHIHUAHUA,70,38,32,14,18,70,0,,,,,,
22/10/2024,COAHUILA,62,54,8,7,1,62,0,,,,,,
22/10/2024,ESTADO DE MEXICO,469,428,41,0,41,0,469,,,,,,
22/10/2024,SONORA,149,133,16,7,9,149,0,,,,,,
22/10/2024,TAMAULIPAS,269,245,24,14,10,269,0,,,,,,
23/10/2024,BAJA CALIFORNIA,103,74,29,7,22,103,0,,,,,,
23/10/2024,CHIHUAHUA,66,56,10,8,2,66,0,,,,,,
23/10/2024,COAHUILA,77,67,10,9,1,77,0,,,,,,
23/10/2024,SONORA,344,301,43,4,39,344,0,,,,,,
23/10/2024,TAMAULIPAS,129,120,9,7,2,129,0,,,,,,
24/10/2024,BAJA CALIFORNIA,90,73,17,8,9,90,0,,,,,,
24/10/2024,CHIHUAHUA,43,16,27,19,8,43,0,,,,,,
24/10/2024,COAHUILA,36,28,8,8,0,36,0,,,,,,
24/10/2024,SONORA,291,238,53,5,48,291,0,,,,,,
24/10/2024,TAMAULIPAS,89,77,12,9,3,89,0,,,,,,
25/10/2024,BAJA CALIFORNIA,81,70,11,2,9,81,0,,,,,,
25/10/2024,CHIHUAHUA,61,45,16,10,6,61,0,,,,,,
25/10/2024,COAHUILA,91,82,9,2,7,91,0,,,,,,
25/10/2024,SONORA,297,224,73,5,68,297,0,,,,,,
25/10/2024,TAMAULIPAS,190,178,12,8,4,190,0,,,,,,
26/10/2024,BAJA CALIFORNIA,135,124,11,4,7,135,0,,,,,,
26/10/2024,CHIHUAHUA,31,17,14,12,2,31,0,,,,,,
26/10/2024,COAHUILA,9,5,4,4,0,9,0,,,,,,
26/10/2024,SONORA,300,270,30,5,25,300,0,,,,,,
26/10/2024,TAMAULIPAS,21,12,9,9,0,21,0,,,,,,
