DIA,O.R.,NACIONALIDAD,ESTACIÓN O ESTANCIA MIGRATORIA,PRESENTADOS
01/10/2024,Campeche,Brasil,Estación Migratoria Escárcega,3
01/10/2024,Campeche,El Salvador,Estación Migratoria Escárcega,1
01/10/2024,Campeche,Honduras,Estación Migratoria Escárcega,2
01/10/2024,Campeche,Vietnam,Estación Migratoria Escárcega,4
01/10/2024,Chiapas,Burkina Faso,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,China,Estación Migratoria Tapachula,1
01/10/2024,Chiapas,Colombia,Estación Migratoria Palenque,2
01/10/2024,Chiapas,Colombia,Estación Migratoria Tapachula,5
01/10/2024,Chiapas,Congo,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,Cuba,Estación Migratoria Tapachula,3
01/10/2024,Chiapas,Ecuador,Estación Migratoria Tapachula,7
01/10/2024,Chiapas,Ecuador,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,Egipto,Estación Migratoria Palenque,1
01/10/2024,Chiapas,Egipto,Estación Migratoria Tuxtla Gutiérrez,6
01/10/2024,Chiapas,El Salvador,Estación Migratoria Tapachula,11
01/10/2024,Chiapas,Eritrea,Estación Migratoria Tapachula,4
01/10/2024,Chiapas,Etiopia,Estación Migratoria Tapachula,1
01/10/2024,Chiapas,Etiopia,Estación Migratoria Tuxtla Gutiérrez,5
01/10/2024,Chiapas,Guatemala,Estación Migratoria Palenque,2
01/10/2024,Chiapas,Guatemala,Estación Migratoria Tapachula,12
01/10/2024,Chiapas,Guatemala,Estación Migratoria Tuxtla Gutiérrez,2
01/10/2024,Chiapas,Haití,Estación Migratoria Tapachula,2
01/10/2024,Chiapas,Haití,Estación Migratoria Tuxtla Gutiérrez,11
01/10/2024,Chiapas,Honduras,Estación Migratoria Palenque,8
01/10/2024,Chiapas,Honduras,Estación Migratoria Tapachula,21
01/10/2024,Chiapas,Marruecos,Estación Migratoria Tapachula,2
01/10/2024,Chiapas,Mauritania,Estación Migratoria Tuxtla Gutiérrez,3
01/10/2024,Chiapas,Nicaragua,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,Perú,Estación Migratoria Tapachula,9
01/10/2024,Chiapas,Región Administrativa Especial De Macao,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tapachula,92
01/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tuxtla Gutiérrez,243
01/10/2024,Chiapas,Togo,Estación Migratoria Tuxtla Gutiérrez,4
01/10/2024,Chiapas,Uganda,Estación Migratoria Tapachula,1
01/10/2024,Chiapas,Vietnam,Estación Migratoria Tapachula,1
01/10/2024,Ciudad de México,Argentina,Estación Migratoria Iztapalapa,2
01/10/2024,Ciudad de México,Brasil,Estación Migratoria Iztapalapa,1
01/10/2024,Ciudad de México,China,Estación Migratoria Iztapalapa,2
01/10/2024,Ciudad de México,Colombia,Estación Migratoria Iztapalapa,3
01/10/2024,Ciudad de México,Egipto,Estación Migratoria Iztapalapa,4
01/10/2024,Ciudad de México,El Salvador,Estación Migratoria Iztapalapa,2
01/10/2024,Ciudad de México,Guatemala,Estación Migratoria Iztapalapa,4
01/10/2024,Ciudad de México,Nicaragua,Estación Migratoria Iztapalapa,1
01/10/2024,Ciudad de México,Perú,Estación Migratoria Iztapalapa,1
01/10/2024,Ciudad de México,República Dominicana,Estación Migratoria Iztapalapa,2
01/10/2024,Ciudad de México,Turquía,Estación Migratoria Iztapalapa,1
01/10/2024,Nuevo León,Honduras,Estancia Provisional Monterrey,1
01/10/2024,Nuevo León,Nicaragua,Estancia Provisional Monterrey,1
01/10/2024,Nuevo León,Panamá,Estancia Provisional Monterrey,1
01/10/2024,Nuevo León,República Bolivariana de Venezuela,Estancia Provisional Monterrey,2
01/10/2024,Quintana Roo,Cuba,Estación Migratoria Cancún,22
01/10/2024,Tamaulipas,Ecuador,Estación Migratoria Reynosa,1
01/10/2024,Veracruz,Colombia,Estación Migratoria Acayucan,1
01/10/2024,Veracruz,Cuba,Estación Migratoria Acayucan,2
01/10/2024,Veracruz,El Salvador,Estación Migratoria Acayucan,1
01/10/2024,Veracruz,Federación De Rusia,Estación Migratoria Acayucan,1
01/10/2024,Veracruz,Guatemala,Estación Migratoria Acayucan,3
01/10/2024,Veracruz,Honduras,Estación Migratoria Acayucan,7
01/10/2024,Veracruz,Mali,Estación Migratoria Acayucan,1
01/10/2024,Veracruz,Nicaragua,Estación Migratoria Acayucan,1
01/10/2024,Veracruz,República Bolivariana de Venezuela,Estación Migratoria Acayucan,30
02/10/2024,Baja California,Estados Unidos de América,Estación Migratoria Mexicali,1
02/10/2024,Chiapas,Albania,Estación Migratoria Tapachula,2
02/10/2024,Chiapas,Angola,Estación Migratoria Tuxtla Gutiérrez,1
02/10/2024,Chiapas,Azerbaiyán,Estación Migratoria Tapachula,1
02/10/2024,Chiapas,Brasil,Estación Migratoria Tapachula,3
02/10/2024,Chiapas,Burkina Faso,Estación Migratoria Tuxtla Gutiérrez,1
02/10/2024,Chiapas,Camerún,Estación Migratoria Tapachula,5
02/10/2024,Chiapas,Camerún,Estación Migratoria Tuxtla Gutiérrez,1
02/10/2024,Chiapas,Colombia,Estación Migratoria Tapachula,7
02/10/2024,Chiapas,Colombia,Estación Migratoria Tuxtla Gutiérrez,2
02/10/2024,Chiapas,Congo,Estación Migratoria Tuxtla Gutiérrez,2
02/10/2024,Chiapas,Cuba,Estación Migratoria Tapachula,5
02/10/2024,Chiapas,Ecuador,Estación Migratoria Tapachula,6
02/10/2024,Chiapas,Egipto,Estación Migratoria Palenque,1
02/10/2024,Chiapas,Egipto,Estación Migratoria Tapachula,6
02/10/2024,Chiapas,El Salvador,Estación Migratoria Tapachula,2
02/10/2024,Chiapas,Eritrea,Estación Migratoria Tuxtla Gutiérrez,3
02/10/2024,Chiapas,Estado Plurinacional de Bolivia,Estación Migratoria Tapachula,2
02/10/2024,Chiapas,Gambia,Estación Migratoria Tuxtla Gutiérrez,4
02/10/2024,Chiapas,Guatemala,Estación Migratoria Palenque,1
02/10/2024,Chiapas,Guatemala,Estación Migratoria Tapachula,37
02/10/2024,Chiapas,Guatemala,Estación Migratoria Tuxtla Gutiérrez,2
02/10/2024,Chiapas,Guinea,Estación Migratoria Tuxtla Gutiérrez,5
02/10/2024,Chiapas,Honduras,Estación Migratoria Palenque,4
02/10/2024,Chiapas,Honduras,Estación Migratoria Tapachula,9
02/10/2024,Chiapas,India,Estación Migratoria Tapachula,7
02/10/2024,Chiapas,India,Estación Migratoria Tuxtla Gutiérrez,7
02/10/2024,Chiapas,Marruecos,Estación Migratoria Tapachula,1
02/10/2024,Chiapas,Nicaragua,Estación Migratoria Palenque,1
02/10/2024,Chiapas,Nicaragua,Estación Migratoria Tapachula,5
02/10/2024,Chiapas,Nicaragua,Estación Migratoria Tuxtla Gutiérrez,4
02/10/2024,Chiapas,Nigeria,Estación Migratoria Tapachula,1
02/10/2024,Chiapas,Nigeria,Estación Migratoria Tuxtla Gutiérrez,1
02/10/2024,Chiapas,Pakistán,Estación Migratoria Tapachula,3
02/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Palenque,1
02/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tapachula,111
02/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tuxtla Gutiérrez,289
02/10/2024,Chiapas,República Democrática del Congo,Estación Migratoria Tapachula,3
02/10/2024,Chiapas,República Dominicana,Estación Migratoria Tapachula,2
02/10/2024,Chiapas,República Federal Democrática de Nepal,Estación Migratoria Tapachula,6
02/10/2024,Chiapas,República Islámica del Irán,Estación Migratoria Tapachula,4
02/10/2024,Chiapas,Togo,Estación Migratoria Tuxtla Gutiérrez,1
02/10/2024,Chiapas,Uganda,Estación Migratoria Tuxtla Gutiérrez,1
02/10/2024,Chiapas,Uzbekistán,Estación Migratoria Tapachula,6
02/10/2024,Chiapas,Zimbabwe,Estación Migratoria Tapachula,1
02/10/2024,Ciudad de México,Brasil,Estación Migratoria Iztapalapa,1
02/10/2024,Ciudad de México,Colombia,Estación Migratoria Iztapalapa,4
02/10/2024,Ciudad de México,Cuba,Estación Migratoria Iztapalapa,1
02/10/2024,Ciudad de México,Ecuador,Estación Migratoria Iztapalapa,4
02/10/2024,Ciudad de México,Guatemala,Estación Migratoria Iztapalapa,3
02/10/2024,Ciudad de México,República Bolivariana de Venezuela,Estación Migratoria Iztapalapa,10
02/10/2024,Ciudad de México,Turquía,Estación Migratoria Iztapalapa,2
02/10/2024,Ciudad de México,Uzbekistán,Estación Migratoria Iztapalapa,1
02/10/2024,Nuevo León,Ecuador,Estancia Provisional Monterrey,2
02/10/2024,Nuevo León,Guatemala,Estancia Provisional Monterrey,1
02/10/2024,Nuevo León,Haití,Estancia Provisional Monterrey,1
02/10/2024,Nuevo León,Honduras,Estancia Provisional Monterrey,1
02/10/2024,Nuevo León,República Bolivariana de Venezuela,Estancia Provisional Monterrey,5
02/10/2024,Oaxaca,Guatemala,Estación Migratoria Oaxaca,2
02/10/2024,Oaxaca,República Bolivariana de Venezuela,Estación Migratoria Oaxaca,7
02/10/2024,Quintana Roo,Belice,Estación Migratoria Chetumal,2
02/10/2024,Quintana Roo,Brasil,Estación Migratoria Cancún,3
02/10/2024,Quintana Roo,Colombia,Estación Migratoria Cancún,1
02/10/2024,Quintana Roo,Cuba,Estación Migratoria Cancún,2
02/10/2024,Quintana Roo,El Salvador,Estación Migratoria Cancún,1
02/10/2024,Quintana Roo,Estados Unidos de América,Estación Migratoria Chetumal,1
02/10/2024,Quintana Roo,India,Estación Migratoria Cancún,2
02/10/2024,Quintana Roo,Perú,Estación Migratoria Cancún,1
02/10/2024,Quintana Roo,Turquía,Estación Migratoria Cancún,9
02/10/2024,Sinaloa,China,Estación Migratoria Mazatlán,2
02/10/2024,Sonora,China,Estación Migratoria Hermosillo,1
02/10/2024,Sonora,Ecuador,Estación Migratoria Hermosillo,1
02/10/2024,Sonora,Estados Unidos de América,Estación Migratoria Hermosillo,1
02/10/2024,Sonora,Guatemala,Estación Migratoria Hermosillo,6
02/10/2024,Sonora,Honduras,Estación Migratoria Hermosillo,1
02/10/2024,Sonora,India,Estación Migratoria Hermosillo,5
02/10/2024,Sonora,Jamaica,Estación Migratoria Hermosillo,1
02/10/2024,Sonora,Nicaragua,Estación Migratoria Hermosillo,2
02/10/2024,Sonora,República Bolivariana de Venezuela,Estación Migratoria Hermosillo,1
02/10/2024,Sonora,Turquía,Estación Migratoria Hermosillo,6
02/10/2024,Tabasco,Afganistán,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Angola,Estación Migratoria Villahermosa,3
02/10/2024,Tabasco,Argentina,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Armenia,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Brasil,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Camerún,Estación Migratoria Villahermosa,3
02/10/2024,Tabasco,China,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Colombia,Estación Migratoria Villahermosa,5
02/10/2024,Tabasco,Congo,Estación Migratoria Villahermosa,3
02/10/2024,Tabasco,Ecuador,Estación Migratoria Villahermosa,21
02/10/2024,Tabasco,Egipto,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,El Salvador,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Eritrea,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Estado Plurinacional de Bolivia,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Etiopia,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Ghana,Estación Migratoria Villahermosa,7
02/10/2024,Tabasco,Guatemala,Estación Migratoria Villahermosa,3
02/10/2024,Tabasco,Guinea,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Honduras,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,India,Estación Migratoria Villahermosa,10
02/10/2024,Tabasco,Jamaica,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Jordania,Estación Migratoria Villahermosa,5
02/10/2024,Tabasco,Líbano,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Marruecos,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Mauritania,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,Nicaragua,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Niger,Estación Migratoria Villahermosa,2
02/10/2024,Tabasco,Nigeria,Estación Migratoria Villahermosa,4
02/10/2024,Tabasco,Perú,Estación Migratoria Villahermosa,1
02/10/2024,Tabasco,República Bolivariana de Venezuela,Estación Migratoria Villahermosa,10
02/10/2024,Tabasco,República Federal Democrática de Nepal,Estación Migratoria Villahermosa,5
02/10/2024,Tabasco,Somalia,Estación Migratoria Villahermosa,3
02/10/2024,Tabasco,Togo,Estación Migratoria Villahermosa,4
02/10/2024,Tabasco,Turquía,Estación Migratoria Villahermosa,18
02/10/2024,Tabasco,Uzbekistán,Estación Migratoria Villahermosa,5
02/10/2024,Tabasco,Vietnam,Estación Migratoria Villahermosa,8
02/10/2024,Tabasco,Zimbabwe,Estación Migratoria Villahermosa,1
02/10/2024,Tamaulipas,Canadá,Estación Migratoria Tampico,1
02/10/2024,Tamaulipas,Honduras,Estación Migratoria Reynosa,1
02/10/2024,Veracruz,Brasil,Estación Migratoria Acayucan,1
02/10/2024,Veracruz,Camerún,Estación Migratoria Acayucan,2
02/10/2024,Veracruz,Ecuador,Estación Migratoria Acayucan,1
02/10/2024,Veracruz,Egipto,Estación Migratoria Acayucan,3
02/10/2024,Veracruz,Guatemala,Estación Migratoria Acayucan,15
02/10/2024,Veracruz,Honduras,Estación Migratoria Acayucan,6
02/10/2024,Veracruz,República Bolivariana de Venezuela,Estación Migratoria Acayucan,9
02/10/2024,Yucatán,Argentina,Estación Migratoria Mérida,1
02/10/2024,Zacatecas,Guatemala,Estación Migratoria Zacatecas,1
03/10/2024,Baja California,Jordania,Estación Migratoria Tijuana,4
03/10/2024,Campeche,Estados Unidos de América,Oficina de Representación en Campeche,1
03/10/2024,Campeche,Haití,Oficina de Representación en Campeche,1
03/10/2024,Chiapas,Brasil,Estación Migratoria Tapachula,1
03/10/2024,Chiapas,Camerún,Estación Migratoria Tapachula,1
03/10/2024,Chiapas,Camerún,Estación Migratoria Tuxtla Gutiérrez,2
03/10/2024,Chiapas,Colombia,Estación Migratoria Palenque,5
03/10/2024,Chiapas,Colombia,Estación Migratoria Tapachula,5
03/10/2024,Chiapas,Cuba,Estación Migratoria Tapachula,4
03/10/2024,Chiapas,Cuba,Estación Migratoria Tuxtla Gutiérrez,14
03/10/2024,Chiapas,Ecuador,Estación Migratoria Tapachula,9
03/10/2024,Chiapas,Ecuador,Estación Migratoria Tuxtla Gutiérrez,3
03/10/2024,Chiapas,Egipto,Estación Migratoria Tapachula,3
03/10/2024,Chiapas,El Salvador,Estación Migratoria Palenque,1
03/10/2024,Chiapas,El Salvador,Estación Migratoria Tapachula,8
03/10/2024,Chiapas,El Salvador,Estación Migratoria Tuxtla Gutiérrez,2
03/10/2024,Chiapas,Estado Plurinacional de Bolivia,Estación Migratoria Tapachula,2
03/10/2024,Chiapas,Estados Unidos de América,Estación Migratoria Palenque,1
03/10/2024,Chiapas,Estados Unidos de América,Estación Migratoria Tuxtla Gutiérrez,1
03/10/2024,Chiapas,Federación De Rusia,Estación Migratoria Tapachula,1
03/10/2024,Chiapas,Guatemala,Estación Migratoria Palenque,3
03/10/2024,Chiapas,Guatemala,Estación Migratoria Tapachula,9
03/10/2024,Chiapas,Guatemala,Estación Migratoria Tuxtla Gutiérrez,7
03/10/2024,Chiapas,Honduras,Estación Migratoria Palenque,17
03/10/2024,Chiapas,Honduras,Estación Migratoria Tapachula,25
03/10/2024,Chiapas,Honduras,Estación Migratoria Tuxtla Gutiérrez,2
03/10/2024,Chiapas,Nicaragua,Estación Migratoria Palenque,3
03/10/2024,Chiapas,Nicaragua,Estación Migratoria Tapachula,2
03/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Palenque,2
03/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tapachula,69
03/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tuxtla Gutiérrez,222
03/10/2024,Chiapas,República Islámica del Irán,Estación Migratoria Tapachula,1
03/10/2024,Chiapas,Togo,Estación Migratoria Tuxtla Gutiérrez,10
03/10/2024,Chiapas,Turquía,Estación Migratoria Palenque,3
03/10/2024,Ciudad de México,Armenia,Estación Migratoria Iztapalapa,4
03/10/2024,Ciudad de México,Bangladesh,Estación Migratoria Iztapalapa,1
03/10/2024,Ciudad de México,Colombia,Estación Migratoria Iztapalapa,2
03/10/2024,Ciudad de México,Cuba,Estación Migratoria Iztapalapa,3
03/10/2024,Ciudad de México,Ecuador,Estación Migratoria Iztapalapa,2
03/10/2024,Ciudad de México,Estados Unidos de América,Estación Migratoria Iztapalapa,1
03/10/2024,Ciudad de México,Honduras,Estación Migratoria Iztapalapa,4
03/10/2024,Ciudad de México,India,Estación Migratoria Iztapalapa,5
03/10/2024,Ciudad de México,Nicaragua,Estación Migratoria Iztapalapa,3
03/10/2024,Ciudad de México,Pakistán,Estación Migratoria Iztapalapa,1
03/10/2024,Ciudad de México,República Bolivariana de Venezuela,Estación Migratoria Iztapalapa,4
03/10/2024,Ciudad de México,Rumania,Estación Migratoria Iztapalapa,1
03/10/2024,Ciudad de México,Turquía,Estación Migratoria Iztapalapa,3
03/10/2024,Ciudad de México,Vietnam,Estación Migratoria Iztapalapa,1
03/10/2024,Nuevo León,Dominica,Estancia Provisional Monterrey,1
03/10/2024,Nuevo León,Guatemala,Estancia Provisional Monterrey,1
03/10/2024,Nuevo León,República Bolivariana de Venezuela,Estancia Provisional Monterrey,1
03/10/2024,Nuevo León,República Dominicana,Estancia Provisional Monterrey,1
03/10/2024,Quintana Roo,Brasil,Estación Migratoria Cancún,12
03/10/2024,Quintana Roo,El Salvador,Estación Migratoria Chetumal,1
03/10/2024,Quintana Roo,Guatemala,Estación Migratoria Chetumal,1
03/10/2024,San Luis Potosí,Cuba,Estación Migratoria San Luis Potosí,2
03/10/2024,San Luis Potosí,Nicaragua,Estación Migratoria San Luis Potosí,4
03/10/2024,San Luis Potosí,República Bolivariana de Venezuela,Estación Migratoria San Luis Potosí,12
03/10/2024,Sonora,Bangladesh,Estación Migratoria Hermosillo,3
03/10/2024,Sonora,Colombia,Estación Migratoria Hermosillo,1
03/10/2024,Sonora,Egipto,Estación Migratoria Hermosillo,1
03/10/2024,Sonora,Guatemala,Estación Migratoria Hermosillo,3
03/10/2024,Sonora,India,Estación Migratoria Hermosillo,4
03/10/2024,Sonora,Uzbekistán,Estación Migratoria Hermosillo,5
03/10/2024,Sonora,Vietnam,Estación Migratoria Hermosillo,3
03/10/2024,Tabasco,Benin,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,Burkina Faso,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,Camerún,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,China,Estación Migratoria Villahermosa,2
03/10/2024,Tabasco,Colombia,Estación Migratoria Villahermosa,3
03/10/2024,Tabasco,Ecuador,Estación Migratoria Villahermosa,5
03/10/2024,Tabasco,Egipto,Estación Migratoria Villahermosa,7
03/10/2024,Tabasco,El Salvador,Estación Migratoria Villahermosa,3
03/10/2024,Tabasco,Etiopia,Estación Migratoria Villahermosa,8
03/10/2024,Tabasco,Ghana,Estación Migratoria Villahermosa,4
03/10/2024,Tabasco,Guatemala,Estación Migratoria Villahermosa,4
03/10/2024,Tabasco,Haití,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,Honduras,Estación Migratoria Villahermosa,3
03/10/2024,Tabasco,Jordania,Estación Migratoria Villahermosa,4
03/10/2024,Tabasco,Nicaragua,Estación Migratoria Villahermosa,14
03/10/2024,Tabasco,Panamá,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,Perú,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,República Árabe de Siria,Estación Migratoria Villahermosa,1
03/10/2024,Tabasco,República Bolivariana de Venezuela,Estación Migratoria Villahermosa,19
03/10/2024,Tabasco,Togo,Estación Migratoria Villahermosa,4
03/10/2024,Tabasco,Turquía,Estación Migratoria Villahermosa,9
03/10/2024,Tamaulipas,República Bolivariana de Venezuela,Estación Migratoria Reynosa,1
03/10/2024,Veracruz,Afganistán,Estación Migratoria Acayucan,4
03/10/2024,Veracruz,Colombia,Estación Migratoria Acayucan,5
03/10/2024,Veracruz,Egipto,Estación Migratoria Acayucan,1
03/10/2024,Veracruz,Guatemala,Estación Migratoria Acayucan,1
03/10/2024,Veracruz,Honduras,Estación Migratoria Acayucan,2
03/10/2024,Veracruz,Israel,Estación Migratoria Acayucan,1
03/10/2024,Veracruz,Nicaragua,Estación Migratoria Acayucan,1
04/10/2024,Baja California Sur,Jordania,Estación Migratoria Los Cabos,7
04/10/2024,Chiapas,Camerún,Estación Migratoria Tuxtla Gutiérrez,4
04/10/2024,Chiapas,Colombia,Estación Migratoria Tapachula,3
04/10/2024,Chiapas,Cuba,Estación Migratoria Tapachula,6
04/10/2024,Chiapas,Cuba,Estación Migratoria Tuxtla Gutiérrez,1
04/10/2024,Chiapas,Ecuador,Estación Migratoria Tapachula,25
04/10/2024,Chiapas,Ecuador,Estación Migratoria Tuxtla Gutiérrez,3
04/10/2024,Chiapas,El Salvador,Estación Migratoria Tapachula,12
04/10/2024,Chiapas,El Salvador,Estación Migratoria Tuxtla Gutiérrez,2
04/10/2024,Chiapas,Estado Plurinacional de Bolivia,Estación Migratoria Tapachula,5
04/10/2024,Chiapas,Gambia,Estación Migratoria Tuxtla Gutiérrez,1
04/10/2024,Chiapas,Guatemala,Estación Migratoria Tapachula,9
04/10/2024,Chiapas,Guatemala,Estación Migratoria Tuxtla Gutiérrez,5
04/10/2024,Chiapas,Guinea Ecuatorial,Estación Migratoria Tuxtla Gutiérrez,4
04/10/2024,Chiapas,Haití,Estación Migratoria Tapachula,3
04/10/2024,Chiapas,Haití,Estación Migratoria Tuxtla Gutiérrez,13
04/10/2024,Chiapas,Honduras,Estación Migratoria Palenque,4
04/10/2024,Chiapas,Honduras,Estación Migratoria Tapachula,11
04/10/2024,Chiapas,Kenia,Estación Migratoria Tuxtla Gutiérrez,1
04/10/2024,Chiapas,Mauritania,Estación Migratoria Tuxtla Gutiérrez,1
04/10/2024,Chiapas,Nicaragua,Estación Migratoria Tapachula,1
04/10/2024,Chiapas,Nicaragua,Estación Migratoria Tuxtla Gutiérrez,4
04/10/2024,Chiapas,Nigeria,Estación Migratoria Tuxtla Gutiérrez,5
04/10/2024,Chiapas,Panamá,Estación Migratoria Tapachula,2
04/10/2024,Chiapas,Perú,Estación Migratoria Tapachula,9
04/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tapachula,129
04/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tuxtla Gutiérrez,364
04/10/2024,Chiapas,República Federal Democrática de Nepal,Estación Migratoria Tapachula,4
04/10/2024,Chiapas,República Islámica del Irán,Estación Migratoria Tapachula,2
04/10/2024,Chiapas,Seychelles Islas,Estación Migratoria Tuxtla Gutiérrez,1
04/10/2024,Chiapas,Togo,Estación Migratoria Tuxtla Gutiérrez,2
04/10/2024,Chiapas,Turquía,Estación Migratoria Palenque,3
04/10/2024,Chiapas,Uganda,Estación Migratoria Tuxtla Gutiérrez,1
04/10/2024,Chiapas,Zimbabwe,Estación Migratoria Tuxtla Gutiérrez,2
04/10/2024,Ciudad de México,Azerbaiyán,Estación Migratoria Iztapalapa,1
04/10/2024,Ciudad de México,Bangladesh,Estación Migratoria Iztapalapa,5
04/10/2024,Ciudad de México,Camerún,Estación Migratoria Iztapalapa,1
04/10/2024,Ciudad de México,Colombia,Estación Migratoria Iztapalapa,5
04/10/2024,Ciudad de México,Congo,Estación Migratoria Iztapalapa,5
04/10/2024,Ciudad de México,Cuba,Estación Migratoria Iztapalapa,1
04/10/2024,Ciudad de México,Ecuador,Estación Migratoria Iztapalapa,3
04/10/2024,Ciudad de México,Francia,Estación Migratoria Iztapalapa,1
04/10/2024,Ciudad de México,Guatemala,Estación Migratoria Iztapalapa,3
04/10/2024,Ciudad de México,Honduras,Estación Migratoria Iztapalapa,1
04/10/2024,Ciudad de México,India,Estación Migratoria Iztapalapa,21
04/10/2024,Ciudad de México,Jordania,Estación Migratoria Iztapalapa,4
04/10/2024,Ciudad de México,Pakistán,Estación Migratoria Iztapalapa,5
04/10/2024,Ciudad de México,República Bolivariana de Venezuela,Estación Migratoria Iztapalapa,4
04/10/2024,Ciudad de México,República Federal Democrática de Nepal,Estación Migratoria Iztapalapa,12
04/10/2024,Ciudad de México,República Islámica del Irán,Estación Migratoria Iztapalapa,1
04/10/2024,Ciudad de México,Turquía,Estación Migratoria Iztapalapa,10
04/10/2024,Ciudad de México,Vietnam,Estación Migratoria Iztapalapa,4
04/10/2024,Nuevo León,Angola,Estancia Provisional Monterrey,3
04/10/2024,Nuevo León,Colombia,Estancia Provisional Monterrey,5
04/10/2024,Nuevo León,Cuba,Estancia Provisional Monterrey,1
04/10/2024,Nuevo León,El Salvador,Estancia Provisional Monterrey,1
04/10/2024,Nuevo León,Honduras,Estancia Provisional Monterrey,3
04/10/2024,Nuevo León,República Dominicana,Estancia Provisional Monterrey,3
04/10/2024,Oaxaca,República Bolivariana de Venezuela,Estación Migratoria Oaxaca,8
04/10/2024,Quintana Roo,Colombia,Estación Migratoria Cancún,3
04/10/2024,Quintana Roo,Ecuador,Estación Migratoria Cancún,3
04/10/2024,Sonora,Argentina,Estación Migratoria Hermosillo,1
04/10/2024,Sonora,Bangladesh,Estación Migratoria Hermosillo,1
04/10/2024,Sonora,Egipto,Estación Migratoria Hermosillo,1
04/10/2024,Sonora,Eslovenia,Estación Migratoria Hermosillo,1
04/10/2024,Sonora,Guatemala,Estación Migratoria Hermosillo,2
04/10/2024,Sonora,Honduras,Estación Migratoria Hermosillo,1
04/10/2024,Sonora,India,Estación Migratoria Hermosillo,3
04/10/2024,Sonora,Nicaragua,Estación Migratoria Hermosillo,1
04/10/2024,Sonora,República Federal Democrática de Nepal,Estación Migratoria Hermosillo,2
04/10/2024,Sonora,Turquía,Estación Migratoria Hermosillo,5
04/10/2024,Sonora,Vietnam,Estación Migratoria Hermosillo,15
04/10/2024,Tabasco,Bangladesh,Estación Migratoria Villahermosa,1
04/10/2024,Tabasco,China,Estación Migratoria Villahermosa,1
04/10/2024,Tabasco,Colombia,Estación Migratoria Villahermosa,1
04/10/2024,Tabasco,Ecuador,Estación Migratoria Villahermosa,3
04/10/2024,Tabasco,Egipto,Estación Migratoria Villahermosa,1
04/10/2024,Tabasco,Guatemala,Estación Migratoria Villahermosa,5
04/10/2024,Tabasco,Honduras,Estación Migratoria Villahermosa,1
04/10/2024,Tabasco,India,Estación Migratoria Villahermosa,2
04/10/2024,Tabasco,Pakistán,Estación Migratoria Villahermosa,2
04/10/2024,Tabasco,República Bolivariana de Venezuela,Estación Migratoria Villahermosa,5
04/10/2024,Tabasco,República Dominicana,Estación Migratoria Villahermosa,1
04/10/2024,Tabasco,República Federal Democrática de Nepal,Estación Migratoria Villahermosa,5
04/10/2024,Tabasco,Turquía,Estación Migratoria Villahermosa,14
04/10/2024,Tabasco,Vietnam,Estación Migratoria Villahermosa,9
04/10/2024,Tamaulipas,Colombia,Estación Migratoria Reynosa,1
04/10/2024,Veracruz,Colombia,Estación Migratoria Acayucan,5
04/10/2024,Veracruz,Estados Unidos de América,Estación Migratoria Acayucan,2
