DIA,ESTADO / O.R.,NACIONALIDAD,Motivo de Estancia,Documentos Migratorios,Tarjeta de Residente Permanente,Tarjeta de Residente Temporal,Tarjeta de Residente Temporal Estudiante,Tarjeta de Visitante por razones humanitarias,Tarjeta de Visitante con fines de adopción,Tarjeta de Visitante Regional,Tarjeta de Visitante Trabajador Fronterizo
02/10/2024,AGUASCALIENTES,Brasil,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,AGUASCALIENTES,Costa Rica,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Cuba,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Estados Unidos de América,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Indonesia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón,Unidad Familiar, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Armenia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,China,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,China,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Colombia,Razones Humanitarias, 1 , - , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Colombia,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Cuba,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Cuba,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador,Unidad Familiar, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Reposición, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Guatemala,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití,Canje, 8 , 3 , 5 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras,Razones Humanitarias, 1 , - , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Pakistán,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República Bolivariana de Venezuela,Reposición, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República de Corea,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Argentina,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Brasil,Renovación, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Equiparado, 3 , - , 3 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,China,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Cuba,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Cuba,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ecuador,Estudio, 2 , - , - , 2 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ecuador,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,España,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Canje, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Renovación, 8 , 2 , 6 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Federación De Rusia,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Francia,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Francia,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ghana,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Guatemala,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CAMPECHE,Brasil,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,China,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CAMPECHE,Cuba,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,Colombia,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIAPAS,Cuba,Razones Humanitarias, 15 , 15 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Cuba,Unidad Familiar, 3 , 2 , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador,Razones Humanitarias, 16 , 16 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador,Turismo, 14 , - , - , - , - , - , 14 , - 
02/10/2024,CHIAPAS,El Salvador,Unidad Familiar, 14 , 14 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Estados Unidos de América,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Guatemala,Empleo, 22 , - , - , - , - , - , - , 22 
02/10/2024,CHIAPAS,Guatemala,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Guatemala,Renovación, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Guatemala,Reposición, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,Guatemala,Turismo, 326 , - , - , - , - , - , 326 , - 
02/10/2024,CHIAPAS,Guatemala,Unidad Familiar, 38 , 37 , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,Haití,Razones Humanitarias, 2 , 2 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Haití,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Honduras,Razones Humanitarias, 70 , 70 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Honduras,Turismo, 13 , - , - , - , - , - , 13 , - 
02/10/2024,CHIAPAS,Honduras,Unidad Familiar, 8 , 8 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Polonia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,República Dominicana,Unidad Familiar, 4 , 4 , - , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Argentina,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIHUAHUA,China,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,China,Renovación, 5 , - , 5 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Colombia,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Colombia,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Estados Unidos de América,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Honduras,Razones Humanitarias, 1 , - , - , - , 1 , - , - , - 
02/10/2024,CHIHUAHUA,India,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Taiwan (Provincia de China),Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Alemania,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina,Canje, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina,Renovación, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina,Reposición, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Australia,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Australia,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Australia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Brasil,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Brasil,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Brasil,Renovación, 6 , - , 6 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Canadá,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Canadá,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Chile,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China,Canje, 12 , - , 12 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China,Renovación, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China,Reposición, 2 , 2 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China,Unidad Familiar, 9 , 4 , 5 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Canje, 11 , - , 11 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Estudio, 2 , - , - , 2 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Renovación, 8 , - , 8 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia,Unidad Familiar, 8 , 4 , 4 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Costa Rica,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Costa Rica,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Cuba,Canje, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Cuba,Empleo, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Cuba,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Cuba,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Dinamarca,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Ecuador,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Ecuador,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Eslovaquia,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,España,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,España,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,España,Renovación, 8 , - , 8 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,España,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América,Canje, 19 , - , 19 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América,Renovación, 5 , - , 5 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América,Reposición, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Federación De Rusia,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Federación De Rusia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Federación De Rusia,Unidad Familiar, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Filipinas,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia,Canje, 4 , - , 4 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia,Por Tiempo, 3 , 3 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia,Renovación, 10 , - , 10 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia,Reposición, 3 , 3 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Guatemala,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Guatemala,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Guatemala,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Guatemala,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Haití,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Haití,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Honduras,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Honduras,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Honduras,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,India,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Israel,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Israel,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Italia,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Italia,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Japón,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Perú,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Perú,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Perú,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Perú,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela,Razones Humanitarias, 2 , 2 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela,Renovación, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela,Unidad Familiar, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Checa,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República de Corea,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República de Corea,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Dominicana,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Dominicana,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Singapur,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Suecia,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Uzbekistán,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,China,Canje, 7 , - , 7 , - , - , - , - , - 
02/10/2024,COAHUILA,China,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Colombia,Estudio, 2 , - , - , 2 , - , - , - , - 
02/10/2024,COAHUILA,Colombia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,Colombia,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,Cuba,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Estados Unidos de América,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,Estados Unidos de América,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,COAHUILA,Estados Unidos de América,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,Italia,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Pakistán,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,República Bolivariana de Venezuela,Canje, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,República Bolivariana de Venezuela,Renovación, 2 , 2 , - , - , - , - , - , - 
02/10/2024,COAHUILA,República de Corea,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,República de Corea,Unidad Familiar, 2 , - , 2 , - , - , - , - , - 
02/10/2024,COLIMA,Argentina,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,DURANGO,Argentina,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,DURANGO,Colombia,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,DURANGO,Colombia,Renovación, 3 , - , 3 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Argentina,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Argentina,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Argentina,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Chile,Unidad Familiar, 2 , - , 2 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Colombia,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Colombia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Colombia,Unidad Familiar, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Costa Rica,Renovación, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Cuba,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Cuba,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Cuba,Razones Humanitarias, 2 , 2 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Cuba,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Ecuador,Renovación, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,El Salvador,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,España,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Estado Plurinacional de Bolivia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Guatemala,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Honduras,Renovación, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República Bolivariana de Venezuela,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República Bolivariana de Venezuela,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República de Corea,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Argentina,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Canadá,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Canadá,Renovación, 3 , - , 3 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Chile,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,China,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Colombia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Cuba,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,GUANAJUATO,Cuba,Unidad Familiar, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Estados Unidos de América,Canje, 3 , - , 3 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Estados Unidos de América,Equiparado, 6 , - , 6 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Estados Unidos de América,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,Estados Unidos de América,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Estados Unidos de América,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Japón,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Japón,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,Japón,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Japón,Unidad Familiar, 3 , - , 3 , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Bolivariana de Venezuela,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Bolivariana de Venezuela,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Checa,Renovación, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Dominicana,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Taiwan (Provincia de China),Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Vietnam,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUERRERO,China,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUERRERO,Estados Unidos de América,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUERRERO,Estados Unidos de América,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUERRERO,República Bolivariana de Venezuela,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUERRERO,República Bolivariana de Venezuela,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUERRERO,República Dominicana,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Argentina,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,China,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,China,Renovación, 1 , 1 , - , - , - , - , - , - 
02/10/2024,HIDALGO,Colombia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Estados Unidos de América,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Nigeria,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,JALISCO,Alemania,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,JALISCO,Argentina,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,Canadá,Canje, 3 , - , 3 , - , - , - , - , - 
02/10/2024,JALISCO,Canadá,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,JALISCO,Canadá,Renovación, 8 , - , 8 , - , - , - , - , - 
02/10/2024,JALISCO,Chile,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,China,Canje, 1 , 1 , - , - , - , - , - , - 
02/10/2024,JALISCO,Colombia,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,JALISCO,Colombia,Empleo, 1 , - , 1 , - , - , - , - , - 
