DIA,ESTADO / O.R.,NACIONALIDAD,Documentos Migratorios,Tarjeta de Residente Permanente,Tarjeta de Residente Temporal,Tarjeta de Residente Temporal Estudiante,Tarjeta de Visitante por razones humanitarias,Tarjeta de Visitante con fines de adopción,Tarjeta de Visitante Regional,Tarjeta de Visitante Trabajador Fronterizo
02/10/2024,AGUASCALIENTES,Brasil, 1 , - , - , 1 , - , - , - , - 
02/10/2024,AGUASCALIENTES,Costa Rica, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Cuba, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Indonesia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón, 4 , 2 , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Armenia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,China, 3 , - , 3 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Colombia, 2 , 1 , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Cuba, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América, 6 , 2 , 4 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Guatemala, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití, 10 , 3 , 7 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras, 3 , 2 , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Pakistán, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República Bolivariana de Venezuela, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República de Corea, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Brasil, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá, 7 , - , 7 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,China, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Cuba, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ecuador, 3 , - , 1 , 2 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,España, 1 , - , - , 1 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América, 14 , 5 , 9 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Francia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ghana, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Guatemala, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CAMPECHE,Brasil, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,China, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,CAMPECHE,Cuba, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,Colombia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIAPAS,Cuba, 18 , 17 , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador, 45 , 31 , - , - , - , - , 14 , - 
02/10/2024,CHIAPAS,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Guatemala, 390 , 40 , 2 , - , - , - , 326 , 22 
02/10/2024,CHIAPAS,Haití, 3 , 3 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Honduras, 91 , 78 , - , - , - , - , 13 , - 
02/10/2024,CHIAPAS,Polonia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,República Dominicana, 4 , 4 , - , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Argentina, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIHUAHUA,China, 7 , - , 7 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Colombia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Honduras, 1 , - , - , - , 1 , - , - , - 
02/10/2024,CHIHUAHUA,India, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Taiwan (Provincia de China), 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Alemania, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina, 11 , 2 , 9 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Australia, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Brasil, 9 , 2 , 7 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Canadá, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Chile, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China, 29 , 8 , 21 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia, 34 , 6 , 26 , 2 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Costa Rica, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Cuba, 7 , 1 , 6 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Dinamarca, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Ecuador, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Eslovaquia, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,España, 11 , - , 11 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América, 30 , - , 30 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Federación De Rusia, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Filipinas, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia, 22 , 6 , 16 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Guatemala, 6 , 2 , 4 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Haití, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Honduras, 3 , 2 , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,India, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Israel, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Italia, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Japón, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Perú, 6 , 1 , 4 , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela, 9 , 4 , 5 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Checa, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República de Corea, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Dominicana, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Singapur, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Suecia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Uzbekistán, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,China, 8 , 1 , 7 , - , - , - , - , - 
02/10/2024,COAHUILA,Colombia, 4 , - , 2 , 2 , - , - , - , - 
02/10/2024,COAHUILA,Cuba, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Estados Unidos de América, 4 , - , 4 , - , - , - , - , - 
02/10/2024,COAHUILA,Italia, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Pakistán, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,República Bolivariana de Venezuela, 3 , 3 , - , - , - , - , - , - 
02/10/2024,COAHUILA,República de Corea, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,COLIMA,Argentina, 1 , - , - , 1 , - , - , - , - 
02/10/2024,DURANGO,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,DURANGO,Colombia, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Argentina, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Chile, 2 , - , 2 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Colombia, 6 , 1 , 5 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Costa Rica, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Cuba, 6 , 2 , 3 , 1 , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Ecuador, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,El Salvador, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,España, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Estado Plurinacional de Bolivia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Guatemala, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Honduras, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República Bolivariana de Venezuela, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República de Corea, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Canadá, 5 , - , 5 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Chile, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,China, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Colombia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Cuba, 3 , - , 2 , 1 , - , - , - , - 
02/10/2024,GUANAJUATO,Estados Unidos de América, 13 , 1 , 12 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Japón, 7 , 2 , 5 , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Bolivariana de Venezuela, 2 , 2 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Checa, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUANAJUATO,República Dominicana, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Taiwan (Provincia de China), 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Vietnam, 1 , 1 , - , - , - , - , - , - 
02/10/2024,GUERRERO,China, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUERRERO,Estados Unidos de América, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUERRERO,República Bolivariana de Venezuela, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,GUERRERO,República Dominicana, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,China, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Colombia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
02/10/2024,HIDALGO,Nigeria, 1 , 1 , - , - , - , - , - , - 
02/10/2024,JALISCO,Alemania, 2 , 2 , - , - , - , - , - , - 
02/10/2024,JALISCO,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,Canadá, 13 , - , 13 , - , - , - , - , - 
02/10/2024,JALISCO,Chile, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,China, 1 , 1 , - , - , - , - , - , - 
02/10/2024,JALISCO,Colombia, 14 , 4 , 10 , - , - , - , - , - 
02/10/2024,JALISCO,Cuba, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,JALISCO,Ecuador, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,JALISCO,El Salvador, 1 , - , - , - , 1 , - , - , - 
02/10/2024,JALISCO,España, 2 , 2 , - , - , - , - , - , - 
02/10/2024,JALISCO,Estados Unidos de América, 27 , 11 , 16 , - , - , - , - , - 
02/10/2024,JALISCO,Federación De Rusia, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,JALISCO,Filipinas, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,Haití, 2 , 1 , - , - , 1 , - , - , - 
02/10/2024,JALISCO,Honduras, 1 , 1 , - , - , - , - , - , - 
02/10/2024,JALISCO,India, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,JALISCO,Perú, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,JALISCO,Puerto Rico, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,Región Administrativa Especial Hong Kong, 1 , - , 1 , - , - , - , - , - 
02/10/2024,JALISCO,República Bolivariana de Venezuela, 4 , 2 , 2 , - , - , - , - , - 
02/10/2024,JALISCO,Turquía, 1 , 1 , - , - , - , - , - , - 
02/10/2024,MICHOACAN,Argentina, 1 , 1 , - , - , - , - , - , - 
02/10/2024,MICHOACAN,Colombia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,MICHOACAN,Cuba, 1 , - , 1 , - , - , - , - , - 
02/10/2024,MORELOS,Chile, 1 , - , 1 , - , - , - , - , - 
02/10/2024,MORELOS,Colombia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,MORELOS,Cuba, 2 , - , 2 , - , - , - , - , - 
02/10/2024,MORELOS,España, 1 , 1 , - , - , - , - , - , - 
02/10/2024,MORELOS,Jordania, 1 , - , 1 , - , - , - , - , - 
02/10/2024,NAYARIT,Canadá, 7 , 2 , 5 , - , - , - , - , - 
02/10/2024,NAYARIT,Ecuador, 1 , - , 1 , - , - , - , - , - 
02/10/2024,NAYARIT,Estados Unidos de América, 8 , 6 , 2 , - , - , - , - , - 
02/10/2024,NAYARIT,República Bolivariana de Venezuela, 2 , - , 2 , - , - , - , - , - 
02/10/2024,NAYARIT,Uruguay, 1 , - , 1 , - , - , - , - , - 
02/10/2024,OAXACA,Alemania, 1 , 1 , - , - , - , - , - , - 
02/10/2024,OAXACA,Canadá, 2 , - , 2 , - , - , - , - , - 
02/10/2024,OAXACA,Chile, 1 , 1 , - , - , - , - , - , - 
02/10/2024,OAXACA,Colombia, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,OAXACA,Cuba, 1 , 1 , - , - , - , - , - , - 
02/10/2024,OAXACA,Estados Unidos de América, 7 , - , 7 , - , - , - , - , - 
02/10/2024,OAXACA,Reino Unido de Gran Bretaña e Irlanda del Norte, 1 , - , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,Alemania, 1 , - , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,Argentina, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,Brasil, 1 , - , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,China, 1 , - , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,Colombia, 9 , 3 , 6 , - , - , - , - , - 
02/10/2024,PUEBLA,Cuba, 1 , - , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,Ecuador, 2 , - , 2 , - , - , - , - , - 
02/10/2024,PUEBLA,Estados Unidos de América, 4 , - , 4 , - , - , - , - , - 
02/10/2024,PUEBLA,Francia, 4 , - , 3 , 1 , - , - , - , - 
02/10/2024,PUEBLA,Honduras, 1 , - , 1 , - , - , - , - , - 
02/10/2024,PUEBLA,Italia, 1 , - , - , 1 , - , - , - , - 
02/10/2024,PUEBLA,Panamá, 1 , - , - , 1 , - , - , - , - 
02/10/2024,PUEBLA,República Bolivariana de Venezuela, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,QUERETARO,Colombia, 4 , - , 4 , - , - , - , - , - 
02/10/2024,QUERETARO,Costa Rica, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUERETARO,España, 1 , - , - , 1 , - , - , - , - 
02/10/2024,QUERETARO,Estados Unidos de América, 2 , - , 2 , - , - , - , - , - 
02/10/2024,QUERETARO,Francia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,QUERETARO,India, 6 , - , 6 , - , - , - , - , - 
02/10/2024,QUERETARO,Japón, 2 , - , 2 , - , - , - , - , - 
02/10/2024,QUERETARO,Perú, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUERETARO,República Bolivariana de Venezuela, 5 , 5 , - , - , - , - , - , - 
02/10/2024,QUERETARO,República de Corea, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,QUERETARO,República Dominicana, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,QUERETARO,Suiza, 1 , 1 , - , - , - , - , - , - 
02/10/2024,QUERETARO,Taiwan (Provincia de China), 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Alemania, 5 , 2 , 3 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Argentina, 9 , 4 , 5 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Australia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Austria, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Belice, 36 , - , - , - , - , - , 36 , - 
02/10/2024,QUINTANA ROO,Brasil, 3 , - , 3 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Canadá, 5 , 3 , 2 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,China, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Colombia, 8 , 3 , 5 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Costa Rica, 1 , 1 , - , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Cuba, 25 , 12 , 13 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Ecuador, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,España, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Estado Plurinacional de Bolivia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Estados Unidos de América, 11 , 5 , 6 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Federación De Rusia, 1 , - , - , 1 , - , - , - , - 
02/10/2024,QUINTANA ROO,Francia, 5 , - , 5 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Guatemala, 2 , 2 , - , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Haití, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Honduras, 2 , - , 2 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Italia, 2 , 2 , - , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Jamaica, 2 , 2 , - , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Países Bajos, 5 , - , 5 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Panamá, 1 , 1 , - , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Perú, 1 , 1 , - , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Reino Unido de Gran Bretaña e Irlanda del Norte, 2 , - , 2 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,República Bolivariana de Venezuela, 2 , - , 2 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,República Dominicana, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,QUINTANA ROO,Trinidad y Tobago, 1 , - , 1 , - , - , - , - , - 
02/10/2024,QUINTANA ROO,Uruguay, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,Alemania, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,Colombia, 4 , 4 , - , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,España, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,Haití, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,Italia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,Perú, 1 , - , 1 , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,Portugal, 2 , - , 2 , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,República Árabe de Siria, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,República Bolivariana de Venezuela, 3 , 2 , 1 , - , - , - , - , - 
02/10/2024,SAN LUIS POTOSI,República de Corea, 1 , - , 1 , - , - , - , - , - 
02/10/2024,SINALOA,Chile, 2 , - , 2 , - , - , - , - , - 
02/10/2024,SINALOA,China, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,SINALOA,Colombia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,SINALOA,Ecuador, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SINALOA,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SONORA,Colombia, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SONORA,Cuba, 2 , - , 2 , - , - , - , - , - 
02/10/2024,SONORA,Estados Unidos de América, 5 , - , 5 , - , - , - , - , - 
02/10/2024,SONORA,Honduras, 1 , 1 , - , - , - , - , - , - 
02/10/2024,SONORA,República Bolivariana de Venezuela, 1 , 1 , - , - , - , - , - , - 
02/10/2024,TABASCO,China, 2 , - , 2 , - , - , - , - , - 
02/10/2024,TABASCO,Colombia, 6 , 4 , 2 , - , - , - , - , - 
02/10/2024,TABASCO,Cuba, 1 , 1 , - , - , - , - , - , - 
02/10/2024,TABASCO,El Salvador, 2 , 2 , - , - , - , - , - , - 
02/10/2024,TABASCO,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
02/10/2024,TABASCO,Guatemala, 12 , - , - , - , - , - , 6 , 6 
02/10/2024,TABASCO,Honduras, 7 , 7 , - , - , - , - , - , - 
02/10/2024,TABASCO,Italia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,TABASCO,Nicaragua, 1 , 1 , - , - , - , - , - , - 
02/10/2024,TABASCO,Perú, 3 , - , 3 , - , - , - , - , - 
02/10/2024,TABASCO,República Bolivariana de Venezuela, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,TAMAULIPAS,Colombia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,TAMAULIPAS,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
02/10/2024,TAMAULIPAS,Filipinas, 1 , - , 1 , - , - , - , - , - 
02/10/2024,TAMAULIPAS,Guatemala, 1 , 1 , - , - , - , - , - , - 
02/10/2024,TAMAULIPAS,Honduras, 2 , 2 , - , - , - , - , - , - 
02/10/2024,TAMAULIPAS,Nicaragua, 1 , 1 , - , - , - , - , - , - 
02/10/2024,TAMAULIPAS,Panamá, 1 , 1 , - , - , - , - , - , - 
02/10/2024,TLAXCALA,Bélgica, 1 , 1 , - , - , - , - , - , - 
02/10/2024,VERACRUZ,Alemania, 1 , - , 1 , - , - , - , - , - 
02/10/2024,VERACRUZ,Argentina, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,VERACRUZ,Brasil, 1 , - , - , 1 , - , - , - , - 
02/10/2024,VERACRUZ,China, 3 , 3 , - , - , - , - , - , - 
02/10/2024,VERACRUZ,Colombia, 5 , 1 , 4 , - , - , - , - , - 
02/10/2024,VERACRUZ,El Salvador, 1 , 1 , - , - , - , - , - , - 
02/10/2024,VERACRUZ,Estados Unidos de América, 2 , - , 2 , - , - , - , - , - 
02/10/2024,VERACRUZ,Guatemala, 1 , 1 , - , - , - , - , - , - 
02/10/2024,YUCATAN,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,YUCATAN,Canadá, 2 , 2 , - , - , - , - , - , - 
02/10/2024,YUCATAN,China, 1 , - , 1 , - , - , - , - , - 
02/10/2024,YUCATAN,Colombia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,YUCATAN,Cuba, 5 , 3 , 2 , - , - , - , - , - 
02/10/2024,YUCATAN,El Salvador, 1 , - , 1 , - , - , - , - , - 
02/10/2024,YUCATAN,Estados Unidos de América, 4 , 2 , 2 , - , - , - , - , - 
02/10/2024,YUCATAN,Nicaragua, 1 , - , 1 , - , - , - , - , - 
02/10/2024,YUCATAN,República Bolivariana de Venezuela, 5 , 5 , - , - , - , - , - , - 
03/10/2024,AGUASCALIENTES,Alemania, 1 , - , 1 , - , - , - , - , - 
03/10/2024,AGUASCALIENTES,Cuba, 1 , - , 1 , - , - , - , - , - 
03/10/2024,AGUASCALIENTES,España, 1 , 1 , - , - , - , - , - , - 
03/10/2024,AGUASCALIENTES,Japón, 3 , - , 3 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Argentina, 1 , 1 , - , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Canadá, 1 , - , 1 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,China, 5 , 1 , 4 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Colombia, 2 , 1 , 1 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Cuba, 1 , - , 1 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,El Salvador, 5 , 5 , - , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Estados Unidos de América, 8 , 4 , 4 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Filipinas, 3 , - , 3 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Guatemala, 2 , 1 , 1 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Haití, 7 , 4 , 3 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Honduras, 2 , 2 , - , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Italia, 1 , 1 , - , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,Japón, 2 , - , 2 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA,República de Corea, 1 , - , 1 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA SUR,Canadá, 4 , 2 , 2 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA SUR,China, 1 , 1 , - , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América, 4 , 1 , 3 , - , - , - , - , - 
03/10/2024,BAJA CALIFORNIA SUR,Italia, 1 , - , 1 , - , - , - , - , - 
03/10/2024,CAMPECHE,Brasil, 1 , - , 1 , - , - , - , - , - 
03/10/2024,CAMPECHE,Ecuador, 1 , - , 1 , - , - , - , - , - 
03/10/2024,CAMPECHE,Estados Unidos de América, 2 , - , 2 , - , - , - , - , - 
03/10/2024,CAMPECHE,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
03/10/2024,CAMPECHE,Guatemala, 1 , 1 , - , - , - , - , - , - 
03/10/2024,CAMPECHE,Pakistán, 2 , 2 , - , - , - , - , - , - 
03/10/2024,CAMPECHE,Perú, 1 , - , 1 , - , - , - , - , - 
03/10/2024,CHIAPAS,Chile, 1 , 1 , - , - , - , - , - , - 
