DIA,ESTADO / O.R.,NACIONALIDAD,INADMITIDOS
31/12/2024,Estado de México,Haití,1
31/12/2024,Guanajuato,Estados Unidos de América,2
31/12/2024,Quintana Roo,Argentina,2
31/12/2024,Quintana Roo,Chile,3
31/12/2024,Quintana Roo,China,1
31/12/2024,Quintana Roo,Colombia,17
31/12/2024,Quintana Roo,Ecuador,1
31/12/2024,Quintana Roo,Eritrea,3
31/12/2024,Quintana Roo,Estado Plurinacional de Bolivia,2
31/12/2024,Quintana Roo,Honduras,1
31/12/2024,Quintana Roo,Paraguay,1
31/12/2024,Quintana Roo,Reino Unido de Gran Bretaña e Irlanda del Norte,7
31/12/2024,Quintana Roo,República Bolivariana de Venezuela,1
31/12/2024,Quintana Roo,República Islámica del Irán,1
31/12/2024,Quintana Roo,Turquía,1
31/12/2024,Quintana Roo,Ucrania,1
01/01/2025,Baja California Sur,Estados Unidos de América,2
01/01/2025,Baja California,Bangladesh,1
01/01/2025,Baja California,India,18
01/01/2025,Baja California,Pakistán,1
01/01/2025,Baja California,Turquía,1
01/01/2025,Ciudad de México,Afganistán,1
01/01/2025,Ciudad de México,Bangladesh,1
01/01/2025,Ciudad de México,Brasil,1
01/01/2025,Ciudad de México,Camerún,1
01/01/2025,Ciudad de México,Chile,1
01/01/2025,Ciudad de México,China,38
01/01/2025,Ciudad de México,Colombia,35
01/01/2025,Ciudad de México,Costa Rica,1
01/01/2025,Ciudad de México,Ecuador,1
01/01/2025,Ciudad de México,España,2
01/01/2025,Ciudad de México,Federación De Rusia,4
01/01/2025,Ciudad de México,Francia,1
01/01/2025,Ciudad de México,India,2
01/01/2025,Ciudad de México,Turquía,3
01/01/2025,Estado de México,China,4
01/01/2025,Jalisco,Estados Unidos de América,1
01/01/2025,Nuevo Leon,Colombia,1
01/01/2025,Nuevo Leon,Taiwan (Provincia de China),1
01/01/2025,Quintana Roo,Argentina,3
01/01/2025,Quintana Roo,Armenia,3
01/01/2025,Quintana Roo,China,2
01/01/2025,Quintana Roo,Colombia,34
01/01/2025,Quintana Roo,Costa Rica,1
01/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,6
01/01/2025,Quintana Roo,Francia,1
01/01/2025,Quintana Roo,Guatemala,1
01/01/2025,Quintana Roo,Perú,1
01/01/2025,Quintana Roo,República de Corea,1
01/01/2025,Quintana Roo,Rumania,4
01/01/2025,Quintana Roo,Serbia,1
01/01/2025,Quintana Roo,Turquía,1
02/01/2025,Baja California Sur,Estados Unidos de América,2
02/01/2025,Baja California,India,9
02/01/2025,Baja California,Pakistán,1
02/01/2025,Chiapas,Belice,1
02/01/2025,Chiapas,Guatemala,1
02/01/2025,Ciudad de México,Canadá,1
02/01/2025,Ciudad de México,China,9
02/01/2025,Ciudad de México,Colombia,23
02/01/2025,Ciudad de México,Federación De Rusia,1
02/01/2025,Ciudad de México,República Bolivariana de Venezuela,1
02/01/2025,Ciudad de México,Rumania,1
02/01/2025,Ciudad de México,Taiwan (Provincia de China),3
02/01/2025,Estado de México,China,6
02/01/2025,Estado de México,Colombia,1
02/01/2025,Estado de México,Costa Rica,1
02/01/2025,Estado de México,Cuba,2
02/01/2025,Jalisco,Estados Unidos de América,2
02/01/2025,Quintana Roo,Brasil,1
02/01/2025,Quintana Roo,Canadá,3
02/01/2025,Quintana Roo,China,1
02/01/2025,Quintana Roo,Colombia,7
02/01/2025,Quintana Roo,Costa Rica,3
02/01/2025,Quintana Roo,España,1
02/01/2025,Quintana Roo,Guatemala,1
02/01/2025,Quintana Roo,Honduras,5
02/01/2025,Quintana Roo,Italia,1
02/01/2025,Quintana Roo,Nicaragua,1
02/01/2025,Quintana Roo,Nigeria,1
02/01/2025,Quintana Roo,República Federal Democrática de Nepal,1
02/01/2025,Quintana Roo,Serbia,6
02/01/2025,Quintana Roo,Sudáfrica,1
02/01/2025,Quintana Roo,Turquía,2
03/01/2025,Chiapas,El Salvador,1
03/01/2025,Ciudad de México,Canadá,1
03/01/2025,Ciudad de México,Chile,2
03/01/2025,Ciudad de México,China,5
03/01/2025,Ciudad de México,Colombia,19
03/01/2025,Ciudad de México,Cuba,1
03/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,3
03/01/2025,Ciudad de México,Federación De Rusia,3
03/01/2025,Ciudad de México,Guatemala,1
03/01/2025,Estado de México,Colombia,2
03/01/2025,Jalisco,Estados Unidos de América,2
03/01/2025,Michoacán,Estados Unidos de América,1
03/01/2025,Nuevo Leon,Colombia,1
03/01/2025,Quintana Roo,Argentina,2
03/01/2025,Quintana Roo,Chile,2
03/01/2025,Quintana Roo,Colombia,12
03/01/2025,Quintana Roo,Costa Rica,5
03/01/2025,Quintana Roo,Cuba,1
03/01/2025,Quintana Roo,Federación De Rusia,3
03/01/2025,Quintana Roo,Montenegro,1
03/01/2025,Quintana Roo,Nigeria,1
03/01/2025,Quintana Roo,República Democrática del Congo,3
03/01/2025,Quintana Roo,Turquía,1
03/01/2025,Quintana Roo,Uruguay,1
04/01/2025,Ciudad de México,China,7
04/01/2025,Ciudad de México,Colombia,16
04/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,1
04/01/2025,Ciudad de México,Guatemala,1
04/01/2025,Ciudad de México,India,3
04/01/2025,Ciudad de México,Perú,4
04/01/2025,Ciudad de México,Región Administrativa Especial Hong Kong,1
04/01/2025,Estado de México,China,5
04/01/2025,Estado de México,Colombia,5
04/01/2025,Estado de México,Jamaica,1
04/01/2025,Jalisco,Estados Unidos de América,3
04/01/2025,Jalisco,India,1
04/01/2025,Jalisco,Taiwan (Provincia de China),1
04/01/2025,Quintana Roo,Argentina,2
04/01/2025,Quintana Roo,Canadá,4
04/01/2025,Quintana Roo,Colombia,6
04/01/2025,Quintana Roo,Costa Rica,1
04/01/2025,Quintana Roo,Estados Unidos de América,2
04/01/2025,Quintana Roo,Federación De Rusia,8
04/01/2025,Quintana Roo,Panamá,2
04/01/2025,Quintana Roo,Ucrania,3
04/01/2025,Sinaloa,Estados Unidos de América,1
05/01/2025,Chiapas,Guatemala,1
05/01/2025,Ciudad de México,Afganistán,1
05/01/2025,Ciudad de México,Argentina,1
05/01/2025,Ciudad de México,Brasil,3
05/01/2025,Ciudad de México,Burkina Faso,1
05/01/2025,Ciudad de México,China,3
05/01/2025,Ciudad de México,Colombia,5
05/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,2
05/01/2025,Ciudad de México,Estados Unidos de América,2
05/01/2025,Ciudad de México,Federación De Rusia,3
05/01/2025,Ciudad de México,Jamaica,1
05/01/2025,Ciudad de México,Kazajstan,2
05/01/2025,Ciudad de México,Turquía,3
05/01/2025,Guerrero,Estados Unidos de América,1
05/01/2025,Jalisco,Colombia,1
05/01/2025,Quintana Roo,Canadá,2
05/01/2025,Quintana Roo,Colombia,24
05/01/2025,Quintana Roo,Costa Rica,1
05/01/2025,Quintana Roo,El Salvador,1
05/01/2025,Quintana Roo,Estados Unidos de América,4
05/01/2025,Quintana Roo,Israel,1
05/01/2025,Quintana Roo,Panamá,2
05/01/2025,Quintana Roo,Perú,1
05/01/2025,Quintana Roo,República Bolivariana de Venezuela,1
05/01/2025,Quintana Roo,Ucrania,2
06/01/2025,Baja California,India,3
06/01/2025,Baja California,Turquía,1
06/01/2025,Chiapas,Guatemala,5
06/01/2025,Ciudad de México,Argentina,1
06/01/2025,Ciudad de México,Bangladesh,1
06/01/2025,Ciudad de México,Belarús,1
06/01/2025,Ciudad de México,Brasil,2
06/01/2025,Ciudad de México,China,7
06/01/2025,Ciudad de México,Colombia,12
06/01/2025,Ciudad de México,Cuba,2
06/01/2025,Ciudad de México,Guatemala,3
06/01/2025,Ciudad de México,Haití,1
06/01/2025,Ciudad de México,Pakistán,1
06/01/2025,Ciudad de México,Perú,1
06/01/2025,Ciudad de México,Turquía,4
06/01/2025,Estado de México,Colombia,9
06/01/2025,Estado de México,Paraguay,1
06/01/2025,Jalisco,Estados Unidos de América,1
06/01/2025,Nuevo Leon,China,1
06/01/2025,Nuevo Leon,Colombia,1
06/01/2025,Quintana Roo,Argentina,1
06/01/2025,Quintana Roo,Brasil,2
06/01/2025,Quintana Roo,Chile,1
06/01/2025,Quintana Roo,China,2
06/01/2025,Quintana Roo,Colombia,25
06/01/2025,Quintana Roo,Costa Rica,4
06/01/2025,Quintana Roo,Estados Unidos de América,3
06/01/2025,Quintana Roo,República Islámica del Irán,1
06/01/2025,Quintana Roo,Turquía,4
06/01/2025,Quintana Roo,Ucrania,3
06/01/2025,Quintana Roo,Zimbabwe,1
07/01/2025,Baja California,India,3
07/01/2025,Chiapas,Guatemala,1
07/01/2025,Ciudad de México,Argentina,4
07/01/2025,Ciudad de México,Bangladesh,2
07/01/2025,Ciudad de México,Chile,1
07/01/2025,Ciudad de México,China,15
07/01/2025,Ciudad de México,Colombia,17
07/01/2025,Ciudad de México,Costa Rica,1
07/01/2025,Ciudad de México,Honduras,1
07/01/2025,Ciudad de México,India,5
07/01/2025,Estado de México,China,3
07/01/2025,Estado de México,Colombia,3
07/01/2025,Jalisco,Estados Unidos de América,3
07/01/2025,Quintana Roo,Arabia Saudita,1
07/01/2025,Quintana Roo,Argentina,2
07/01/2025,Quintana Roo,Brasil,2
07/01/2025,Quintana Roo,Colombia,24
07/01/2025,Quintana Roo,Costa Rica,1
07/01/2025,Quintana Roo,Cuba,5
07/01/2025,Quintana Roo,España,2
07/01/2025,Quintana Roo,Estados Unidos de América,1
07/01/2025,Quintana Roo,Guatemala,1
07/01/2025,Quintana Roo,Haití,1
07/01/2025,Quintana Roo,Honduras,5
07/01/2025,Quintana Roo,Jamaica,1
07/01/2025,Quintana Roo,Nigeria,1
07/01/2025,Quintana Roo,Turquía,1
08/01/2025,Baja California Sur,Rumania,1
08/01/2025,Baja California,Estados Unidos de América,1
08/01/2025,Baja California,India,2
08/01/2025,Chiapas,Guatemala,1
08/01/2025,Ciudad de México,Argentina,1
08/01/2025,Ciudad de México,Brasil,1
08/01/2025,Ciudad de México,Chile,2
08/01/2025,Ciudad de México,China,13
08/01/2025,Ciudad de México,Colombia,36
08/01/2025,Ciudad de México,Costa Rica,1
08/01/2025,Ciudad de México,El Salvador,1
08/01/2025,Ciudad de México,Estados Unidos de América,1
08/01/2025,Ciudad de México,Etiopia,1
08/01/2025,Ciudad de México,Guatemala,5
08/01/2025,Ciudad de México,Honduras,3
08/01/2025,Ciudad de México,Panamá,2
08/01/2025,Ciudad de México,Perú,1
08/01/2025,Estado de México,Argentina,1
08/01/2025,Estado de México,Colombia,4
08/01/2025,Jalisco,Pakistán,1
08/01/2025,Quintana Roo,Argentina,2
08/01/2025,Quintana Roo,Chile,1
08/01/2025,Quintana Roo,Colombia,32
08/01/2025,Quintana Roo,Cuba,1
08/01/2025,Quintana Roo,Eritrea,1
08/01/2025,Quintana Roo,Estados Unidos de América,1
08/01/2025,Quintana Roo,Guatemala,2
08/01/2025,Quintana Roo,Honduras,1
08/01/2025,Quintana Roo,India,4
08/01/2025,Quintana Roo,Perú,1
08/01/2025,Quintana Roo,Trinidad y Tobago,2
09/01/2025,Baja California,Estados Unidos de América,1
09/01/2025,Ciudad de México,Brasil,3
09/01/2025,Ciudad de México,Chile,1
09/01/2025,Ciudad de México,China,14
09/01/2025,Ciudad de México,Colombia,52
09/01/2025,Ciudad de México,El Salvador,1
09/01/2025,Ciudad de México,Federación De Rusia,1
09/01/2025,Ciudad de México,Guatemala,2
09/01/2025,Ciudad de México,Haití,1
09/01/2025,Ciudad de México,India,6
09/01/2025,Ciudad de México,Nigeria,1
09/01/2025,Ciudad de México,Panamá,1
09/01/2025,Ciudad de México,República Bolivariana de Venezuela,4
09/01/2025,Ciudad de México,Taiwan (Provincia de China),1
09/01/2025,Estado de México,China,2
09/01/2025,Estado de México,Colombia,4
09/01/2025,Estado de México,Cuba,1
09/01/2025,Estado de México,España,1
09/01/2025,Jalisco,Colombia,6
09/01/2025,Jalisco,Estados Unidos de América,1
09/01/2025,Quintana Roo,Argentina,1
09/01/2025,Quintana Roo,Brasil,1
09/01/2025,Quintana Roo,Chile,1
09/01/2025,Quintana Roo,China,1
09/01/2025,Quintana Roo,Colombia,13
09/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,2
09/01/2025,Quintana Roo,Estados Unidos de América,1
09/01/2025,Quintana Roo,Federación De Rusia,1
09/01/2025,Quintana Roo,Haití,1
09/01/2025,Quintana Roo,Marruecos,3
09/01/2025,Quintana Roo,Nigeria,1
09/01/2025,Quintana Roo,Polonia,1
10/01/2025,Baja California Sur,China,1
10/01/2025,Baja California,Estados Unidos de América,1
10/01/2025,Chiapas,Guatemala,2
10/01/2025,Ciudad de México,Argentina,2
10/01/2025,Ciudad de México,Brasil,1
10/01/2025,Ciudad de México,China,9
10/01/2025,Ciudad de México,Colombia,63
10/01/2025,Ciudad de México,Costa Rica,3
10/01/2025,Ciudad de México,El Salvador,2
10/01/2025,Ciudad de México,Estados Unidos de América,3
10/01/2025,Ciudad de México,Federación De Rusia,8
10/01/2025,Ciudad de México,Guatemala,3
10/01/2025,Ciudad de México,India,3
10/01/2025,Ciudad de México,Pakistán,3
10/01/2025,Ciudad de México,Panamá,1
10/01/2025,Ciudad de México,República Bolivariana de Venezuela,1
10/01/2025,Ciudad de México,Rumania,2
10/01/2025,Ciudad de México,Turquía,2
10/01/2025,Ciudad de México,Ucrania,1
10/01/2025,Estado de México,China,8
10/01/2025,Estado de México,Colombia,4
10/01/2025,Estado de México,Haití,1
10/01/2025,Guanajuato,Estados Unidos de América,1
10/01/2025,Jalisco,Colombia,2
10/01/2025,Nuevo Leon,Guatemala,1
10/01/2025,Nuevo Leon,Honduras,2
10/01/2025,Quintana Roo,Argentina,3
10/01/2025,Quintana Roo,Brasil,3
10/01/2025,Quintana Roo,Camerún,1
10/01/2025,Quintana Roo,Chile,2
10/01/2025,Quintana Roo,China,2
10/01/2025,Quintana Roo,Colombia,44
10/01/2025,Quintana Roo,Costa Rica,1
10/01/2025,Quintana Roo,Cuba,1
10/01/2025,Quintana Roo,España,2
10/01/2025,Quintana Roo,Estados Unidos de América,1
10/01/2025,Quintana Roo,Federación De Rusia,1
10/01/2025,Quintana Roo,Jamaica,2
10/01/2025,Quintana Roo,República Dominicana,1
10/01/2025,Quintana Roo,República Islámica del Irán,1
10/01/2025,Quintana Roo,Rumania,3
10/01/2025,Quintana Roo,Ucrania,1
11/01/2025,Baja California,China,1
11/01/2025,Baja California,Estados Unidos de América,1
11/01/2025,Baja California,India,2
11/01/2025,Ciudad de México,Argentina,1
11/01/2025,Ciudad de México,Bahamas,1
11/01/2025,Ciudad de México,Camerún,1
11/01/2025,Ciudad de México,Chile,2
11/01/2025,Ciudad de México,China,14
11/01/2025,Ciudad de México,Colombia,41
11/01/2025,Ciudad de México,Costa Rica,1
11/01/2025,Ciudad de México,Cuba,2
11/01/2025,Ciudad de México,El Salvador,4
11/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,2
11/01/2025,Ciudad de México,Etiopia,1
11/01/2025,Ciudad de México,Federación De Rusia,2
11/01/2025,Ciudad de México,Honduras,3
11/01/2025,Ciudad de México,India,3
11/01/2025,Ciudad de México,Italia,1
11/01/2025,Ciudad de México,Pakistán,1
11/01/2025,Ciudad de México,Panamá,2
11/01/2025,Ciudad de México,Paraguay,1
11/01/2025,Ciudad de México,Perú,1
11/01/2025,Ciudad de México,Singapur,2
11/01/2025,Estado de México,Chile,1
11/01/2025,Estado de México,China,2
11/01/2025,Estado de México,Colombia,8
11/01/2025,Estado de México,España,1
11/01/2025,Estado de México,Haití,1
11/01/2025,Estado de México,República Federal Democrática de Nepal,2
11/01/2025,Jalisco,Armenia,4
11/01/2025,Jalisco,Colombia,1
11/01/2025,Nuevo Leon,Cuba,1
11/01/2025,Quintana Roo,Argentina,2
11/01/2025,Quintana Roo,China,1
11/01/2025,Quintana Roo,Colombia,34
11/01/2025,Quintana Roo,España,3
11/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,4
11/01/2025,Quintana Roo,Estados Unidos de América,2
11/01/2025,Quintana Roo,Guatemala,1
11/01/2025,Quintana Roo,Honduras,3
11/01/2025,Quintana Roo,India,1
11/01/2025,Quintana Roo,Jamaica,1
11/01/2025,Quintana Roo,Marruecos,3
11/01/2025,Quintana Roo,Perú,2
11/01/2025,Quintana Roo,Región Administrativa Especial Hong Kong,1
11/01/2025,Quintana Roo,República Árabe de Siria,5
11/01/2025,Quintana Roo,República Islámica del Irán,2
11/01/2025,Quintana Roo,Rumania,3
11/01/2025,Quintana Roo,Turquía,2
12/01/2025,Baja California,India,5
12/01/2025,Chiapas,Guatemala,2
12/01/2025,Ciudad de México,Argentina,2
12/01/2025,Ciudad de México,Belarús,1
12/01/2025,Ciudad de México,Brasil,1
12/01/2025,Ciudad de México,China,12
12/01/2025,Ciudad de México,Colombia,41
12/01/2025,Ciudad de México,Cuba,2
12/01/2025,Ciudad de México,Ecuador,1
12/01/2025,Ciudad de México,Estados Unidos de América,2
12/01/2025,Ciudad de México,Federación De Rusia,1
12/01/2025,Ciudad de México,Filipinas,1
12/01/2025,Ciudad de México,Guatemala,5
12/01/2025,Ciudad de México,India,1
12/01/2025,Ciudad de México,Panamá,1
12/01/2025,Ciudad de México,Vietnam,4
12/01/2025,Estado de México,Argentina,1
12/01/2025,Estado de México,Ecuador,1
12/01/2025,Jalisco,Colombia,10
12/01/2025,Jalisco,Estados Unidos de América,2
12/01/2025,Oaxaca,Estados Unidos de América,1
12/01/2025,Quintana Roo,Brasil,1
12/01/2025,Quintana Roo,Chile,1
12/01/2025,Quintana Roo,Colombia,20
12/01/2025,Quintana Roo,Ecuador,1
12/01/2025,Quintana Roo,España,1
12/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,3
12/01/2025,Quintana Roo,Estados Unidos de América,1
12/01/2025,Quintana Roo,Jamaica,5
12/01/2025,Quintana Roo,Nicaragua,2
12/01/2025,Quintana Roo,República Bolivariana de Venezuela,1
12/01/2025,Quintana Roo,Taiwan (Provincia de China),1
12/01/2025,Quintana Roo,Trinidad y Tobago,1
12/01/2025,Quintana Roo,Ucrania,1
13/01/2025,Baja California,Estados Unidos de América,2
13/01/2025,Baja California,Sri Lanka,4
13/01/2025,Ciudad de México,Argentina,4
13/01/2025,Ciudad de México,Brasil,5
13/01/2025,Ciudad de México,China,20
13/01/2025,Ciudad de México,Colombia,39
13/01/2025,Ciudad de México,Cuba,3
13/01/2025,Ciudad de México,El Salvador,2
13/01/2025,Ciudad de México,España,2
13/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,5
13/01/2025,Ciudad de México,Federación De Rusia,6
13/01/2025,Ciudad de México,Filipinas,1
13/01/2025,Ciudad de México,India,1
13/01/2025,Ciudad de México,Pakistán,3
13/01/2025,Ciudad de México,Panamá,1
13/01/2025,Estado de México,Colombia,5
13/01/2025,Jalisco,Colombia,1
13/01/2025,Jalisco,Estados Unidos de América,2
13/01/2025,Nuevo Leon,Colombia,5
13/01/2025,Nuevo Leon,Estados Unidos de América,1
13/01/2025,Quintana Roo,Argentina,5
13/01/2025,Quintana Roo,Brasil,1
13/01/2025,Quintana Roo,China,1
13/01/2025,Quintana Roo,Colombia,43
13/01/2025,Quintana Roo,Costa Rica,12
13/01/2025,Quintana Roo,Ecuador,2
13/01/2025,Quintana Roo,España,2
13/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,7
13/01/2025,Quintana Roo,Filipinas,1
13/01/2025,Quintana Roo,Guatemala,6
13/01/2025,Quintana Roo,Panamá,1
14/01/2025,Baja California,India,10
14/01/2025,Baja California,República Federal Democrática de Nepal,2
14/01/2025,Chiapas,Guatemala,3
14/01/2025,Ciudad de México,Argentina,2
14/01/2025,Ciudad de México,Bangladesh,1
14/01/2025,Ciudad de México,China,8
14/01/2025,Ciudad de México,Colombia,68
14/01/2025,Ciudad de México,Costa Rica,1
14/01/2025,Ciudad de México,Cuba,2
14/01/2025,Ciudad de México,El Salvador,3
14/01/2025,Ciudad de México,España,2
14/01/2025,Ciudad de México,Federación De Rusia,2
14/01/2025,Ciudad de México,Honduras,1
14/01/2025,Ciudad de México,India,1
14/01/2025,Ciudad de México,Nicaragua,1
14/01/2025,Estado de México,Argentina,1
14/01/2025,Estado de México,Colombia,9
14/01/2025,Guerrero,Canadá,1
14/01/2025,Jalisco,Colombia,1
14/01/2025,Jalisco,Estados Unidos de América,1
14/01/2025,Jalisco,Panamá,1
14/01/2025,Jalisco,República Dominicana,1
14/01/2025,Nuevo Leon,Canadá,1
14/01/2025,Nuevo Leon,Colombia,1
14/01/2025,Oaxaca,Estados Unidos de América,1
14/01/2025,Quintana Roo,Argentina,7
14/01/2025,Quintana Roo,Brasil,1
14/01/2025,Quintana Roo,Colombia,33
14/01/2025,Quintana Roo,España,2
14/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,1
14/01/2025,Quintana Roo,Estados Unidos de América,1
14/01/2025,Quintana Roo,Federación De Rusia,1
14/01/2025,Quintana Roo,Guatemala,3
14/01/2025,Quintana Roo,Honduras,4
14/01/2025,Quintana Roo,Italia,1
14/01/2025,Quintana Roo,Pakistán,1
14/01/2025,Quintana Roo,Polonia,1
14/01/2025,Quintana Roo,Rumania,2
14/01/2025,Quintana Roo,Ucrania,1
14/01/2025,Quintana Roo,Uzbekistán,3
15/01/2025,Baja California Sur,Estados Unidos de América,1
15/01/2025,Baja California,India,1
15/01/2025,Chiapas,Guatemala,1
15/01/2025,Ciudad de México,Afganistán,1
15/01/2025,Ciudad de México,Argentina,5
15/01/2025,Ciudad de México,Bangladesh,1
15/01/2025,Ciudad de México,Brasil,2
15/01/2025,Ciudad de México,Camerún,2
15/01/2025,Ciudad de México,China,6
15/01/2025,Ciudad de México,Colombia,61
15/01/2025,Ciudad de México,Cuba,4
15/01/2025,Ciudad de México,Ecuador,4
15/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,3
15/01/2025,Ciudad de México,Estados Unidos de América,1
15/01/2025,Ciudad de México,Federación De Rusia,9
15/01/2025,Ciudad de México,Guatemala,8
15/01/2025,Ciudad de México,Honduras,7
15/01/2025,Ciudad de México,India,4
15/01/2025,Ciudad de México,Panamá,1
15/01/2025,Ciudad de México,Paraguay,1
15/01/2025,Ciudad de México,República Bolivariana de Venezuela,1
15/01/2025,Ciudad de México,Turquía,2
15/01/2025,Estado de México,China,3
15/01/2025,Estado de México,Colombia,7
15/01/2025,Estado de México,Estados Unidos de América,1
15/01/2025,Estado de México,Haití,2
15/01/2025,Jalisco,Canadá,1
15/01/2025,Jalisco,Estados Unidos de América,1
15/01/2025,Jalisco,República Bolivariana de Venezuela,1
15/01/2025,Nuevo Leon,Cuba,1
15/01/2025,Quintana Roo,Argentina,1
15/01/2025,Quintana Roo,China,1
15/01/2025,Quintana Roo,Colombia,58
15/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,6
15/01/2025,Quintana Roo,Estados Unidos de América,4
15/01/2025,Quintana Roo,Guatemala,4
15/01/2025,Quintana Roo,Perú,8
16/01/2025,Baja California,Estados Unidos de América,1
16/01/2025,Baja California,India,6
16/01/2025,Ciudad de México,Argentina,2
16/01/2025,Ciudad de México,Bangladesh,1
16/01/2025,Ciudad de México,Chile,2
16/01/2025,Ciudad de México,China,30
16/01/2025,Ciudad de México,Colombia,58
16/01/2025,Ciudad de México,Costa Rica,1
16/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,1
16/01/2025,Ciudad de México,Federación De Rusia,5
16/01/2025,Ciudad de México,Guatemala,3
16/01/2025,Ciudad de México,Honduras,4
16/01/2025,Ciudad de México,India,2
16/01/2025,Ciudad de México,Japón,1
16/01/2025,Ciudad de México,Nicaragua,3
16/01/2025,Ciudad de México,Pakistán,2
16/01/2025,Ciudad de México,Perú,1
16/01/2025,Ciudad de México,Turquía,2
16/01/2025,Estado de México,Colombia,13
16/01/2025,Estado de México,Cuba,1
16/01/2025,Estado de México,República de Corea,1
16/01/2025,Jalisco,Colombia,4
16/01/2025,Nuevo Leon,Colombia,2
16/01/2025,Nuevo Leon,Guatemala,1
16/01/2025,Nuevo Leon,Panamá,1
16/01/2025,Quintana Roo,Argentina,3
16/01/2025,Quintana Roo,China,1
16/01/2025,Quintana Roo,Colombia,44
16/01/2025,Quintana Roo,Costa Rica,2
16/01/2025,Quintana Roo,Cuba,1
16/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,5
16/01/2025,Quintana Roo,Estados Unidos de América,2
16/01/2025,Quintana Roo,Federación De Rusia,1
16/01/2025,Quintana Roo,Honduras,2
16/01/2025,Quintana Roo,India,1
16/01/2025,Quintana Roo,Italia,1
16/01/2025,Quintana Roo,Panamá,1
16/01/2025,Quintana Roo,Uruguay,1
17/01/2025,Baja California Sur,Estados Unidos de América,1
17/01/2025,Chiapas,Guatemala,1
17/01/2025,Ciudad de México,Albania,1
17/01/2025,Ciudad de México,Argentina,1
17/01/2025,Ciudad de México,Brasil,1
17/01/2025,Ciudad de México,China,6
17/01/2025,Ciudad de México,Colombia,84
17/01/2025,Ciudad de México,El Salvador,1
17/01/2025,Ciudad de México,España,1
17/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,2
17/01/2025,Ciudad de México,Ex República Yugoslava De Macedonia,1
17/01/2025,Ciudad de México,Federación De Rusia,1
17/01/2025,Ciudad de México,Filipinas,1
17/01/2025,Ciudad de México,Guatemala,1
17/01/2025,Ciudad de México,India,4
17/01/2025,Ciudad de México,Nicaragua,2
17/01/2025,Ciudad de México,Panamá,2
17/01/2025,Ciudad de México,República Bolivariana de Venezuela,4
17/01/2025,Ciudad de México,Rumania,1
17/01/2025,Estado de México,Colombia,12
17/01/2025,Jalisco,Chile,1
17/01/2025,Jalisco,China,1
17/01/2025,Jalisco,Colombia,3
17/01/2025,Jalisco,Japón,1
17/01/2025,Nuevo Leon,Colombia,6
17/01/2025,Nuevo Leon,Estados Unidos de América,1
17/01/2025,Nuevo Leon,Guatemala,4
17/01/2025,Quintana Roo,Argentina,5
17/01/2025,Quintana Roo,Brasil,1
17/01/2025,Quintana Roo,Canadá,1
17/01/2025,Quintana Roo,Chile,2
17/01/2025,Quintana Roo,Colombia,92
17/01/2025,Quintana Roo,Costa Rica,4
17/01/2025,Quintana Roo,Cuba,1
17/01/2025,Quintana Roo,España,2
17/01/2025,Quintana Roo,Estado Plurinacional de Bolivia,8
17/01/2025,Quintana Roo,Estados Unidos de América,2
17/01/2025,Quintana Roo,Filipinas,1
17/01/2025,Quintana Roo,Guatemala,5
17/01/2025,Quintana Roo,Italia,1
17/01/2025,Quintana Roo,Jamaica,1
17/01/2025,Quintana Roo,Pakistán,2
17/01/2025,Quintana Roo,Panamá,3
17/01/2025,Quintana Roo,República Dominicana,1
17/01/2025,Quintana Roo,Rumania,3
17/01/2025,Quintana Roo,Turquía,3
18/01/2025,Baja California Sur,Estados Unidos de América,2
18/01/2025,Baja California,China,1
18/01/2025,Baja California,Estados Unidos de América,1
18/01/2025,Baja California,India,1
18/01/2025,Baja California,Turquía,1
18/01/2025,Ciudad de México,Argentina,3
18/01/2025,Ciudad de México,China,9
18/01/2025,Ciudad de México,Colombia,77
18/01/2025,Ciudad de México,Costa Rica,1
18/01/2025,Ciudad de México,Cuba,2
18/01/2025,Ciudad de México,Ecuador,1
18/01/2025,Ciudad de México,Estado Plurinacional de Bolivia,1
18/01/2025,Ciudad de México,Estados Unidos de América,1
18/01/2025,Ciudad de México,Federación De Rusia,4
18/01/2025,Ciudad de México,Guatemala,5
18/01/2025,Ciudad de México,Haití,3
18/01/2025,Ciudad de México,Honduras,1
18/01/2025,Ciudad de México,India,5
18/01/2025,Ciudad de México,Pakistán,2
18/01/2025,Ciudad de México,Rumania,1
18/01/2025,Ciudad de México,Turquía,1
