DIA,ESTADO / O.R.,NACIONALIDAD,RETORNADOS A SU PAÍS,DEPORTADOS,RETORNOS ASISTIDOS
29/01/2025,Tabasco,Guatemala,36,2,34
30/01/2025,Chiapas,Colombia,2,0,2
30/01/2025,Chiapas,Ecuador,3,0,3
30/01/2025,Chiapas,Guatemala,15,0,15
30/01/2025,Chiapas,Honduras,58,0,58
30/01/2025,Ciudad de México,Honduras,1,0,1
30/01/2025,Veracruz,Honduras,8,0,8
31/01/2025,Baja California,Estados Unidos de América,2,2,0
31/01/2025,Chiapas,Ecuador,2,0,2
31/01/2025,Chiapas,Guatemala,4,0,4
31/01/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
31/01/2025,Oaxaca,Colombia,1,1,0
31/01/2025,Tabasco,Colombia,2,0,2
31/01/2025,Tabasco,Guatemala,161,4,157
31/01/2025,Tabasco,Honduras,82,1,81
31/01/2025,Veracruz,Colombia,1,0,1
31/01/2025,Veracruz,Guatemala,2,0,2
31/01/2025,Veracruz,Nicaragua,2,1,1
01/02/2025,Chiapas,Colombia,1,1,0
01/02/2025,Chiapas,El Salvador,1,0,1
01/02/2025,Chiapas,Perú,3,0,3
01/02/2025,Ciudad de México,Colombia,2,0,2
01/02/2025,Ciudad de México,El Salvador,2,0,2
01/02/2025,Ciudad de México,Honduras,4,0,4
01/02/2025,Ciudad de México,Perú,2,0,2
01/02/2025,Sonora,Guatemala,1,0,1
02/02/2025,Chiapas,Honduras,20,0,20
02/02/2025,Ciudad de México,Colombia,2,0,2
02/02/2025,Ciudad de México,Honduras,4,0,4
03/02/2025,Chiapas,Ecuador,3,0,3
03/02/2025,Ciudad de México,Ecuador,1,0,1
03/02/2025,Ciudad de México,República Bolivariana de Venezuela,1,0,1
04/02/2025,Chiapas,Guatemala,2,0,2
04/02/2025,Ciudad de México,Honduras,2,0,2
05/02/2025,Chiapas,Guatemala,6,0,6
05/02/2025,Chiapas,Honduras,62,0,62
05/02/2025,Ciudad de México,Colombia,1,0,1
05/02/2025,Ciudad de México,Honduras,1,0,1
05/02/2025,Sonora,Estados Unidos de América,1,1,0
05/02/2025,Tabasco,Guatemala,102,5,97
05/02/2025,Veracruz,Estados Unidos de América,1,1,0
06/02/2025,Chiapas,Colombia,4,0,4
06/02/2025,Chiapas,Guatemala,11,0,11
06/02/2025,Chiapas,Honduras,68,1,67
06/02/2025,Ciudad de México,Chile,1,0,1
06/02/2025,Ciudad de México,Colombia,2,0,2
06/02/2025,Ciudad de México,El Salvador,2,0,2
06/02/2025,Ciudad de México,Guatemala,4,0,4
06/02/2025,Tabasco,Honduras,1,0,1
07/02/2025,Chiapas,Brasil,1,0,1
07/02/2025,Chiapas,Guatemala,20,2,18
07/02/2025,Ciudad de México,Estados Unidos de América,1,0,1
07/02/2025,Ciudad de México,Nicaragua,1,0,1
07/02/2025,Tabasco,Colombia,3,3,0
07/02/2025,Tabasco,Guatemala,79,5,74
07/02/2025,Tabasco,Honduras,61,1,60
07/02/2025,Veracruz,Honduras,1,0,1
08/02/2025,Baja California,Estados Unidos de América,1,1,0
08/02/2025,Chiapas,Colombia,4,0,4
08/02/2025,Chiapas,Cuba,5,0,5
08/02/2025,Ciudad de México,Honduras,1,0,1
08/02/2025,Veracruz,Ecuador,3,0,3
08/02/2025,Veracruz,República Bolivariana de Venezuela,1,0,1
09/02/2025,Chiapas,Federación De Rusia,1,0,1
09/02/2025,Chiapas,Honduras,30,0,30
09/02/2025,Ciudad de México,Colombia,1,0,1
09/02/2025,Ciudad de México,Ecuador,4,0,4
10/02/2025,Chiapas,Colombia,2,0,2
10/02/2025,Chiapas,El Salvador,1,0,1
10/02/2025,Chiapas,República Bolivariana de Venezuela,4,0,4
10/02/2025,Ciudad de México,Colombia,2,0,2
10/02/2025,Tabasco,Colombia,1,0,1
10/02/2025,Tabasco,Guatemala,1,0,1
11/02/2025,Baja California,Estados Unidos de América,1,1,0
11/02/2025,Chiapas,El Salvador,3,0,3
11/02/2025,Chiapas,Guatemala,2,0,2
11/02/2025,Chiapas,Honduras,28,0,28
11/02/2025,Chiapas,Perú,1,0,1
11/02/2025,Ciudad de México,Cuba,1,0,1
11/02/2025,Ciudad de México,Honduras,4,0,4
12/02/2025,Baja California,Estados Unidos de América,1,1,0
12/02/2025,Chiapas,Colombia,3,1,2
12/02/2025,Chiapas,El Salvador,1,0,1
12/02/2025,Chiapas,Honduras,3,0,3
12/02/2025,Chiapas,República Bolivariana de Venezuela,3,0,3
12/02/2025,Puebla,Estados Unidos de América,1,0,1
12/02/2025,Veracruz,República Bolivariana de Venezuela,2,1,1
13/02/2025,Chiapas,Guatemala,5,0,5
13/02/2025,Chiapas,Honduras,27,0,27
13/02/2025,Ciudad de México,Colombia,1,0,1
13/02/2025,Ciudad de México,Estados Unidos de América,1,0,1
13/02/2025,Ciudad de México,Uzbekistán,1,1,0
13/02/2025,Veracruz,Honduras,10,0,10
14/02/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
14/02/2025,Ciudad de México,Ecuador,2,0,2
14/02/2025,Veracruz,Guatemala,3,1,2
15/02/2025,Chiapas,Brasil,1,0,1
15/02/2025,Chiapas,Colombia,6,0,6
15/02/2025,Chiapas,Ecuador,3,0,3
15/02/2025,Chiapas,Guatemala,5,0,5
15/02/2025,Chiapas,Honduras,11,0,11
15/02/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
15/02/2025,Chiapas,Suriname,1,0,1
15/02/2025,Ciudad de México,Honduras,1,0,1
15/02/2025,Ciudad de México,República Bolivariana de Venezuela,1,1,0
15/02/2025,Veracruz,El Salvador,1,1,0
15/02/2025,Veracruz,Honduras,2,0,2
15/02/2025,Veracruz,República Bolivariana de Venezuela,3,0,3
16/02/2025,Chiapas,Ecuador,1,0,1
16/02/2025,Chiapas,Honduras,17,0,17
17/02/2025,Baja California,Estados Unidos de América,1,1,0
17/02/2025,Ciudad de México,Colombia,1,1,0
17/02/2025,Puebla,Colombia,1,0,1
17/02/2025,Tabasco,El Salvador,2,0,2
17/02/2025,Tabasco,Guatemala,228,9,219
17/02/2025,Tabasco,Honduras,82,2,80
17/02/2025,Tabasco,República Bolivariana de Venezuela,1,0,1
18/02/2025,Chiapas,Colombia,12,0,12
18/02/2025,Chiapas,Cuba,7,0,7
18/02/2025,Chiapas,Ecuador,4,0,4
18/02/2025,Chiapas,Honduras,21,1,20
18/02/2025,Chiapas,República Bolivariana de Venezuela,2,0,2
18/02/2025,Ciudad de México,Honduras,1,0,1
18/02/2025,Ciudad de México,República Bolivariana de Venezuela,1,0,1
18/02/2025,Sinaloa,Estados Unidos de América,1,1,0
18/02/2025,Tabasco,Guatemala,64,2,62
18/02/2025,Tabasco,Honduras,21,0,21
18/02/2025,Veracruz,El Salvador,11,0,11
18/02/2025,Veracruz,Guatemala,6,0,6
18/02/2025,Veracruz,Honduras,18,0,18
19/02/2025,Chiapas,Guatemala,8,0,8
19/02/2025,Chiapas,Honduras,13,0,13
19/02/2025,Ciudad de México,Colombia,2,0,2
19/02/2025,Veracruz,El Salvador,1,1,0
20/02/2025,Chiapas,Brasil,2,0,2
20/02/2025,Chiapas,Colombia,1,0,1
20/02/2025,Chiapas,Honduras,33,0,33
21/02/2025,Chiapas,Guatemala,1,0,1
21/02/2025,Ciudad de México,Francia,1,0,1
22/02/2025,Chiapas,Guatemala,4,0,4
24/02/2025,Chiapas,Cuba,3,0,3
24/02/2025,Chiapas,Guatemala,7,0,7
24/02/2025,Chiapas,República Bolivariana de Venezuela,8,0,8
24/02/2025,Ciudad de México,Ecuador,1,0,1
24/02/2025,Puebla,Honduras,1,0,1
25/02/2025,Chiapas,Colombia,1,0,1
25/02/2025,Chiapas,Guatemala,2,0,2
25/02/2025,Chiapas,Honduras,29,0,29
25/02/2025,Ciudad de México,Colombia,3,0,3
25/02/2025,Ciudad de México,Estado Plurinacional de Bolivia,1,0,1
25/02/2025,Ciudad de México,Honduras,2,0,2
25/02/2025,Tabasco,Colombia,3,2,1
25/02/2025,Tabasco,Guatemala,66,14,52
25/02/2025,Tabasco,Honduras,20,0,20
25/02/2025,Tabasco,Perú,1,0,1
25/02/2025,Veracruz,Guatemala,16,0,16
25/02/2025,Veracruz,Honduras,9,0,9
26/02/2025,Chiapas,Colombia,1,0,1
26/02/2025,Chiapas,Honduras,15,0,15
26/02/2025,Chihuahua,Brasil,1,0,1
26/02/2025,Chihuahua,Guatemala,1,0,1
26/02/2025,Ciudad de México,Colombia,1,0,1
26/02/2025,Ciudad de México,Ecuador,2,0,2
26/02/2025,Tabasco,Guatemala,1,0,1
27/02/2025,Baja California,Estados Unidos de América,1,1,0
27/02/2025,Chiapas,Ecuador,3,0,3
27/02/2025,Chiapas,El Salvador,1,0,1
27/02/2025,Chiapas,Estado Plurinacional de Bolivia,1,0,1
27/02/2025,Chiapas,Guatemala,12,1,11
27/02/2025,Chiapas,Honduras,2,0,2
27/02/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
27/02/2025,Chihuahua,El Salvador,2,0,2
27/02/2025,Chihuahua,Guatemala,22,0,22
27/02/2025,Chihuahua,Honduras,2,0,2
27/02/2025,Ciudad de México,Guatemala,1,0,1
27/02/2025,Tabasco,República Bolivariana de Venezuela,1,0,1
27/02/2025,Veracruz,Honduras,14,0,14
28/02/2025,Chiapas,Guatemala,4,0,4
28/02/2025,Tabasco,Guatemala,12,0,12
28/02/2025,Veracruz,Guatemala,3,0,3
01/03/2025,Ciudad de México,Estados Unidos de América,2,2,0
01/03/2025,Ciudad de México,República Bolivariana de Venezuela,1,0,1
02/03/2025,Chiapas,Ecuador,1,0,1
02/03/2025,Chiapas,Haití,2,0,2
02/03/2025,Chiapas,Honduras,14,0,14
02/03/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
02/03/2025,Chihuahua,Guatemala,9,0,9
02/03/2025,Chihuahua,Honduras,1,0,1
02/03/2025,Ciudad de México,Colombia,1,0,1
02/03/2025,Veracruz,República Bolivariana de Venezuela,1,0,1
03/03/2025,Chiapas,Guatemala,4,0,4
03/03/2025,Tabasco,Guatemala,61,5,56
03/03/2025,Tabasco,Honduras,16,0,16
04/03/2025,Chiapas,Guatemala,4,0,4
04/03/2025,Chiapas,Honduras,11,0,11
04/03/2025,Ciudad de México,Perú,1,0,1
05/03/2025,Baja California,Estados Unidos de América,2,2,0
05/03/2025,Chiapas,Guatemala,7,0,7
05/03/2025,Chiapas,Honduras,6,0,6
05/03/2025,Ciudad de México,Honduras,6,0,6
05/03/2025,Tabasco,Guatemala,88,0,88
05/03/2025,Veracruz,Honduras,1,0,1
06/03/2025,Chiapas,Honduras,7,0,7
06/03/2025,Ciudad de México,Honduras,1,0,1
06/03/2025,Oaxaca,Honduras,1,0,1
06/03/2025,Sonora,Estados Unidos de América,1,1,0
07/03/2025,Chiapas,Guatemala,11,0,11
07/03/2025,Chiapas,Honduras,6,0,6
07/03/2025,Tamaulipas,Guatemala,2,0,2
08/03/2025,Chiapas,Colombia,1,1,0
08/03/2025,Chiapas,Guatemala,14,1,13
08/03/2025,Ciudad de México,Ecuador,1,0,1
09/03/2025,Chiapas,Estado Plurinacional de Bolivia,1,0,1
10/03/2025,Chiapas,Honduras,16,0,16
10/03/2025,Tabasco,Cuba,4,4,0
10/03/2025,Tabasco,El Salvador,1,1,0
10/03/2025,Tabasco,Honduras,52,2,50
10/03/2025,Tabasco,República Bolivariana de Venezuela,1,1,0
10/03/2025,Tabasco,Vietnam,1,0,1
11/03/2025,Chiapas,Guatemala,18,1,17
11/03/2025,Chiapas,Perú,1,0,1
11/03/2025,Ciudad de México,Colombia,2,0,2
11/03/2025,Ciudad de México,Estado Plurinacional de Bolivia,1,0,1
11/03/2025,Tabasco,Guatemala,71,0,71
12/03/2025,Chiapas,Colombia,3,2,1
12/03/2025,Chiapas,El Salvador,1,0,1
12/03/2025,Chiapas,Guatemala,9,0,9
12/03/2025,Chiapas,Perú,1,0,1
12/03/2025,Oaxaca,Estados Unidos de América,1,0,1
13/03/2025,Chiapas,Colombia,2,0,2
13/03/2025,Chiapas,El Salvador,1,0,1
13/03/2025,Chiapas,Guatemala,6,0,6
13/03/2025,Chiapas,Honduras,27,0,27
13/03/2025,Ciudad de México,Estados Unidos de América,1,0,1
13/03/2025,Oaxaca,Estados Unidos de América,1,1,0
13/03/2025,Tabasco,Colombia,1,1,0
13/03/2025,Tabasco,Honduras,25,0,25
13/03/2025,Veracruz,El Salvador,2,0,2
13/03/2025,Veracruz,Honduras,5,0,5
14/03/2025,Baja California,Estados Unidos de América,1,1,0
14/03/2025,Chiapas,El Salvador,1,0,1
14/03/2025,Veracruz,Colombia,1,0,1
15/03/2025,Chiapas,Ecuador,2,0,2
15/03/2025,Chiapas,Guatemala,1,0,1
15/03/2025,Ciudad de México,Ecuador,1,0,1
15/03/2025,Ciudad de México,Guatemala,1,1,0
15/03/2025,Tabasco,Colombia,1,1,0
15/03/2025,Tamaulipas,Estados Unidos de América,2,2,0
16/03/2025,Chiapas,Colombia,2,2,0
16/03/2025,Chiapas,Ecuador,1,0,1
17/03/2025,Veracruz,Cuba,2,2,0
17/03/2025,Veracruz,Guatemala,2,0,2
18/03/2025,Chiapas,Guatemala,8,0,8
18/03/2025,Tabasco,Guatemala,55,4,51
18/03/2025,Tamaulipas,Estados Unidos de América,1,1,0
19/03/2025,Chiapas,Guatemala,4,0,4
19/03/2025,Ciudad de México,Estados Unidos de América,1,0,1
20/03/2025,Chiapas,Honduras,26,0,26
20/03/2025,Chiapas,República Bolivariana de Venezuela,5,0,5
20/03/2025,Ciudad de México,Colombia,1,0,1
20/03/2025,Tabasco,Cuba,1,0,1
20/03/2025,Tabasco,Guatemala,1,0,1
20/03/2025,Tabasco,Honduras,8,0,8
20/03/2025,Tabasco,Nicaragua,1,0,1
20/03/2025,Tabasco,República Bolivariana de Venezuela,7,1,6
20/03/2025,Tamaulipas,Estados Unidos de América,1,1,0
20/03/2025,Veracruz,Honduras,11,0,11
21/03/2025,Chiapas,Colombia,1,1,0
21/03/2025,Chiapas,Ecuador,1,0,1
21/03/2025,Chiapas,Guatemala,3,0,3
21/03/2025,Ciudad de México,Cuba,1,0,1
21/03/2025,Ciudad de México,Ecuador,1,0,1
21/03/2025,Ciudad de México,El Salvador,1,0,1
21/03/2025,Ciudad de México,Estado Plurinacional de Bolivia,1,0,1
21/03/2025,Oaxaca,Estados Unidos de América,1,1,0
21/03/2025,Sonora,Estados Unidos de América,1,1,0
21/03/2025,Veracruz,Cuba,1,1,0
22/03/2025,Chiapas,Colombia,4,0,4
22/03/2025,Chiapas,Ecuador,3,0,3
22/03/2025,Chiapas,Guatemala,6,0,6
22/03/2025,Ciudad de México,El Salvador,1,1,0
23/03/2025,Ciudad de México,Ecuador,1,0,1
23/03/2025,Puebla,Guatemala,1,1,0
24/03/2025,Chiapas,Guatemala,2,0,2
24/03/2025,Chiapas,Honduras,26,0,26
25/03/2025,Chiapas,Guatemala,11,0,11
25/03/2025,Tamaulipas,Estados Unidos de América,1,1,0
26/03/2025,Chiapas,El Salvador,1,0,1
26/03/2025,Chiapas,Guatemala,6,0,6
26/03/2025,Ciudad de México,Ecuador,2,0,2
26/03/2025,Ciudad de México,Honduras,2,0,2
26/03/2025,Oaxaca,Honduras,1,1,0
26/03/2025,Tabasco,Colombia,1,1,0
26/03/2025,Tabasco,Guatemala,85,5,80
26/03/2025,Tabasco,Honduras,10,1,9
27/03/2025,Chiapas,Honduras,27,0,27
27/03/2025,Tabasco,Cuba,1,1,0
27/03/2025,Tabasco,Guatemala,1,0,1
27/03/2025,Tabasco,Honduras,34,1,33
27/03/2025,Tamaulipas,Guatemala,1,1,0
28/03/2025,Chiapas,Guatemala,4,0,4
28/03/2025,Chiapas,Honduras,1,0,1
28/03/2025,Ciudad de México,Ecuador,1,0,1
28/03/2025,Oaxaca,Honduras,1,0,1
28/03/2025,Sonora,Estados Unidos de América,2,2,0
28/03/2025,Tabasco,Honduras,1,0,1
28/03/2025,Veracruz,Honduras,3,0,3
29/03/2025,Chiapas,Cuba,1,0,1
29/03/2025,Chiapas,Guatemala,2,0,2
29/03/2025,Ciudad de México,Estados Unidos de América,1,0,1
30/03/2025,Chiapas,Guatemala,1,0,1
30/03/2025,Chiapas,Honduras,20,0,20
31/03/2025,Chiapas,Guatemala,4,0,4
31/03/2025,Ciudad de México,Honduras,1,0,1
31/03/2025,Tabasco,Colombia,2,1,1
31/03/2025,Tamaulipas,Estados Unidos de América,1,1,0
01/04/2025,Baja California,Estados Unidos de América,1,1,0
01/04/2025,Chiapas,Guatemala,6,0,6
01/04/2025,Ciudad de México,El Salvador,1,0,1
01/04/2025,Sinaloa,Estados Unidos de América,1,1,0
01/04/2025,Tabasco,Guatemala,28,3,25
01/04/2025,Zacatecas,Estados Unidos de América,1,0,1
01/04/2025,Zacatecas,Guatemala,1,0,1
02/04/2025,Chiapas,Cuba,1,0,1
02/04/2025,Chiapas,Guatemala,3,0,3
02/04/2025,Chiapas,Honduras,17,0,17
02/04/2025,Ciudad de México,Colombia,1,1,0
02/04/2025,Ciudad de México,Honduras,1,0,1
02/04/2025,Tabasco,Honduras,16,1,15
03/04/2025,Chiapas,El Salvador,1,0,1
03/04/2025,Tabasco,Cuba,2,2,0
03/04/2025,Tabasco,El Salvador,1,0,1
04/04/2025,Chiapas,Colombia,3,0,3
04/04/2025,Chiapas,Guatemala,7,0,7
04/04/2025,Ciudad de México,Ecuador,1,0,1
04/04/2025,Ciudad de México,Honduras,3,0,3
05/04/2025,Chiapas,Colombia,3,0,3
05/04/2025,Ciudad de México,Canadá,1,0,1
05/04/2025,Veracruz,El Salvador,1,0,1
06/04/2025,Chiapas,El Salvador,3,0,3
06/04/2025,Chiapas,Honduras,3,0,3
07/04/2025,Chiapas,El Salvador,1,1,0
07/04/2025,Chiapas,Guatemala,7,0,7
07/04/2025,Chiapas,Honduras,2,0,2
07/04/2025,Ciudad de México,China,3,3,0
07/04/2025,Tabasco,Colombia,2,2,0
07/04/2025,Tabasco,Guatemala,2,2,0
07/04/2025,Zacatecas,China,3,3,0
07/04/2025,Zacatecas,Guatemala,1,0,1
08/04/2025,Baja California,Estados Unidos de América,1,1,0
08/04/2025,Chiapas,Guatemala,7,0,7
08/04/2025,Chiapas,Honduras,9,0,9
08/04/2025,Ciudad de México,China,3,3,0
08/04/2025,Ciudad de México,Guatemala,1,1,0
09/04/2025,Chiapas,Guatemala,7,0,7
09/04/2025,Ciudad de México,China,2,2,0
09/04/2025,Ciudad de México,Colombia,2,0,2
09/04/2025,Nuevo León,Estados Unidos de América,1,1,0
09/04/2025,Veracruz,Guatemala,13,0,13
10/04/2025,Chiapas,El Salvador,1,0,1
10/04/2025,Chiapas,Guatemala,2,0,2
10/04/2025,Chiapas,Honduras,13,0,13
10/04/2025,Ciudad de México,China,2,0,2
10/04/2025,Oaxaca,Estados Unidos de América,1,0,1
10/04/2025,Tabasco,Cuba,3,3,0
10/04/2025,Tabasco,Guatemala,17,3,14
10/04/2025,Tabasco,Honduras,20,3,17
10/04/2025,Tamaulipas,Estados Unidos de América,1,1,0
11/04/2025,Chiapas,El Salvador,1,0,1
11/04/2025,Chiapas,Francia,1,0,1
11/04/2025,Chiapas,Guatemala,5,0,5
11/04/2025,Ciudad de México,Colombia,1,0,1
11/04/2025,Ciudad de México,Hungría,1,0,1
11/04/2025,Sonora,Estados Unidos de América,1,1,0
11/04/2025,Tabasco,Colombia,4,4,0
11/04/2025,Tabasco,Guatemala,13,0,13
12/04/2025,Baja California,Estados Unidos de América,1,1,0
12/04/2025,Chiapas,El Salvador,1,0,1
12/04/2025,Chiapas,Guatemala,3,0,3
12/04/2025,Ciudad de México,República Bolivariana de Venezuela,2,0,2
12/04/2025,Zacatecas,China,7,7,0
13/04/2025,Chiapas,Guatemala,1,0,1
13/04/2025,Chiapas,Honduras,12,0,12
13/04/2025,Ciudad de México,Colombia,1,0,1
14/04/2025,Chiapas,Guatemala,4,0,4
14/04/2025,Ciudad de México,Honduras,1,0,1
14/04/2025,Puebla,Honduras,1,1,0
14/04/2025,Sonora,Estados Unidos de América,1,1,0
15/04/2025,Aguascalientes,Estados Unidos de América,1,1,0
15/04/2025,Chiapas,Colombia,3,3,0
15/04/2025,Chiapas,Ecuador,1,0,1
15/04/2025,Chiapas,Guatemala,7,0,7
15/04/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
15/04/2025,Tabasco,Guatemala,17,1,16
16/04/2025,Chiapas,Colombia,2,0,2
16/04/2025,Chiapas,El Salvador,1,0,1
16/04/2025,Chiapas,Guatemala,2,0,2
16/04/2025,Chiapas,Nicaragua,1,1,0
16/04/2025,Ciudad de México,Ecuador,1,0,1
16/04/2025,Ciudad de México,Honduras,1,0,1
16/04/2025,Tabasco,Colombia,3,3,0
16/04/2025,Tabasco,República Bolivariana de Venezuela,1,1,0
16/04/2025,Veracruz,Guatemala,25,0,25
17/04/2025,Baja California,Estados Unidos de América,2,2,0
17/04/2025,Chiapas,Costa Rica,1,0,1
17/04/2025,Ciudad de México,Cuba,1,0,1
17/04/2025,Ciudad de México,Honduras,1,0,1
17/04/2025,Tabasco,Colombia,3,3,0
18/04/2025,Chiapas,Nicaragua,2,0,2
18/04/2025,Ciudad de México,Nicaragua,1,0,1
19/04/2025,Chiapas,Albania,1,0,1
19/04/2025,Chiapas,China,2,0,2
19/04/2025,Ciudad de México,Honduras,1,0,1
20/04/2025,Chiapas,China,2,0,2
20/04/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
21/04/2025,Chiapas,Honduras,14,0,14
21/04/2025,Veracruz,Guatemala,26,0,26
22/04/2025,Chiapas,Guatemala,22,0,22
22/04/2025,Ciudad de México,Honduras,2,0,2
22/04/2025,Ciudad de México,República Bolivariana de Venezuela,2,2,0
22/04/2025,Tabasco,Colombia,1,1,0
23/04/2025,Baja California,Estados Unidos de América,1,1,0
23/04/2025,Chiapas,Colombia,1,0,1
23/04/2025,Chiapas,Guatemala,1,0,1
23/04/2025,Chiapas,Honduras,21,0,21
23/04/2025,Ciudad de México,El Salvador,1,0,1
23/04/2025,Oaxaca,Colombia,1,1,0
23/04/2025,Oaxaca,Honduras,1,1,0
23/04/2025,Tamaulipas,Estados Unidos de América,1,1,0
24/04/2025,Chiapas,Colombia,2,0,2
24/04/2025,Chiapas,Cuba,1,0,1
24/04/2025,Chiapas,El Salvador,3,0,3
24/04/2025,Chiapas,Guatemala,14,0,14
24/04/2025,Chiapas,Honduras,4,0,4
24/04/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
24/04/2025,Ciudad de México,Guatemala,1,0,1
24/04/2025,Ciudad de México,Honduras,1,1,0
24/04/2025,Ciudad de México,Uzbekistán,1,1,0
24/04/2025,Nuevo León,Estados Unidos de América,1,1,0
24/04/2025,Oaxaca,Honduras,1,0,1
24/04/2025,Oaxaca,República Bolivariana de Venezuela,1,1,0
24/04/2025,Tabasco,Colombia,1,1,0
24/04/2025,Tabasco,Honduras,26,0,26
24/04/2025,Veracruz,Honduras,8,0,8
25/04/2025,Chiapas,Guatemala,3,0,3
25/04/2025,Ciudad de México,Colombia,3,2,1
25/04/2025,Ciudad de México,Perú,1,0,1
25/04/2025,Veracruz,Ecuador,1,0,1
26/04/2025,Chiapas,China,1,0,1
26/04/2025,Chiapas,Cuba,2,0,2
26/04/2025,Chiapas,Ecuador,1,0,1
26/04/2025,Chiapas,Guatemala,7,0,7
26/04/2025,Ciudad de México,Cuba,1,0,1
26/04/2025,Ciudad de México,Guatemala,1,0,1
26/04/2025,Ciudad de México,Honduras,2,0,2
26/04/2025,Quintana Roo,Ecuador,1,1,0
26/04/2025,Tabasco,Argentina,1,1,0
26/04/2025,Tabasco,Guatemala,24,4,20
27/04/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
28/04/2025,Chiapas,Honduras,1,0,1
28/04/2025,Ciudad de México,Nicaragua,1,0,1
28/04/2025,Tabasco,Colombia,1,1,0
28/04/2025,Tabasco,El Salvador,1,0,1
29/04/2025,Chiapas,Guatemala,10,0,10
29/04/2025,Chiapas,Honduras,2,0,2
29/04/2025,Oaxaca,República Islámica del Irán,4,4,0
29/04/2025,Veracruz,Honduras,3,0,3
30/04/2025,Chiapas,Guatemala,19,0,19
30/04/2025,Ciudad de México,Colombia,1,1,0
30/04/2025,Quintana Roo,Estados Unidos de América,2,2,0
30/04/2025,Tamaulipas,Estados Unidos de América,1,1,0
01/05/2025,Chiapas,Honduras,16,0,16
01/05/2025,Chiapas,República Dominicana,1,0,1
01/05/2025,Ciudad de México,Estados Unidos de América,1,1,0
01/05/2025,Ciudad de México,Honduras,2,0,2
01/05/2025,Ciudad de México,República Bolivariana de Venezuela,1,1,0
01/05/2025,Tabasco,Honduras,11,0,11
02/05/2025,Chiapas,Costa Rica,1,0,1
02/05/2025,Chiapas,Cuba,4,0,4
02/05/2025,Chiapas,El Salvador,6,0,6
02/05/2025,Chiapas,Guatemala,3,0,3
02/05/2025,Chiapas,Honduras,5,0,5
02/05/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
02/05/2025,Sonora,Estados Unidos de América,1,1,0
02/05/2025,Tabasco,Colombia,3,3,0
02/05/2025,Tabasco,Cuba,1,0,1
02/05/2025,Tabasco,Guatemala,23,3,20
02/05/2025,Tabasco,Honduras,17,1,16
03/05/2025,Chiapas,Cuba,1,0,1
03/05/2025,Chiapas,Guatemala,7,0,7
03/05/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
03/05/2025,Ciudad de México,Colombia,2,2,0
03/05/2025,Ciudad de México,Cuba,1,0,1
04/05/2025,Chiapas,Honduras,11,0,11
04/05/2025,Ciudad de México,Cuba,1,0,1
04/05/2025,Ciudad de México,Estado Plurinacional de Bolivia,1,0,1
05/05/2025,Chiapas,Cuba,2,0,2
05/05/2025,Veracruz,Honduras,2,0,2
06/05/2025,Aguascalientes,Estados Unidos de América,1,1,0
06/05/2025,Chiapas,Cuba,3,0,3
06/05/2025,Chiapas,El Salvador,2,0,2
06/05/2025,Chiapas,Guatemala,20,0,20
06/05/2025,Chiapas,Honduras,11,0,11
06/05/2025,Puebla,El Salvador,1,0,1
06/05/2025,Sonora,El Salvador,1,1,0
06/05/2025,Veracruz,Honduras,1,1,0
07/05/2025,Chiapas,El Salvador,1,0,1
07/05/2025,Chiapas,Nicaragua,1,0,1
07/05/2025,Ciudad de México,Ecuador,2,0,2
07/05/2025,Oaxaca,Honduras,1,0,1
07/05/2025,Tabasco,Colombia,4,4,0
07/05/2025,Tamaulipas,Estados Unidos de América,1,1,0
08/05/2025,Baja California,Estados Unidos de América,1,1,0
08/05/2025,Chiapas,Cuba,4,0,4
08/05/2025,Chiapas,El Salvador,4,0,4
08/05/2025,Chiapas,Guatemala,6,0,6
08/05/2025,Chiapas,Honduras,4,0,4
08/05/2025,Chiapas,República Bolivariana de Venezuela,24,0,24
08/05/2025,Ciudad de México,Colombia,2,1,1
08/05/2025,Ciudad de México,Estados Unidos de América,1,0,1
08/05/2025,Oaxaca,Colombia,2,2,0
08/05/2025,Oaxaca,Honduras,1,0,1
08/05/2025,San Luis Potosí,Honduras,1,0,1
08/05/2025,Tabasco,El Salvador,2,0,2
08/05/2025,Tabasco,Guatemala,21,0,21
08/05/2025,Tabasco,Honduras,34,2,32
09/05/2025,Chiapas,Colombia,4,2,2
09/05/2025,Chiapas,Cuba,1,0,1
09/05/2025,Chiapas,El Salvador,3,0,3
09/05/2025,Chiapas,Guatemala,2,0,2
09/05/2025,Ciudad de México,Guatemala,1,0,1
09/05/2025,Ciudad de México,Honduras,1,1,0
09/05/2025,Tabasco,Colombia,4,4,0
09/05/2025,Veracruz,Honduras,1,0,1
09/05/2025,Veracruz,República Bolivariana de Venezuela,3,0,3
